codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
312,LEP X 25 KG ALIMENTA,"¡Descubre LEP X 25 KG ALIMENTA, la opción ideal para atraer a tus clientes con un producto de alta calidad y excelente sabor! Este formato de 25 kg es perfecto para abastecer tu negocio y asegurar una rotación constante. Al ofrecer un producto tan versátil, te aseguras de captar la atención de consumidores que buscan calidad y economía. Incrementa tus márgenes de ganancia y fomenta la compra por impulso en tu mostrador, ¡no dejes pasar esta oportunidad de éxito para tu almacén!","Alimento balanceado LEP en presentación de 25 kg, formulado para la nutrición de animales, con ingredientes de alta calidad que garantizan un adecuado aporte proteico y energético, ideal para la alimentación de ganado y aves.",alimento balanceado|piensos|forraje,ACTUALIZAR
B16,Rapiditas Clasicas 8p 220g BIM,"¡Descubre el sabor auténtico de las Rapiditas Clásicas! Con su textura suave y crujiente, son ideales para acompañar cualquier comida o disfrutar en un aperitivo. Presentadas en un conveniente formato de 8 porciones de 220g, son perfectas para el mostrador de tu kiosco o almacén. Su fácil consumo las convierte en un producto estrella para compras por impulso, asegurando un alto margen de ganancia y atrayendo a un público diverso. ¡No dejes pasar la oportunidad de ofrecer un clásico irresistible!","Rapiditas clásicas en formato de 220g, presentadas en un paquete de 8 unidades, ideales para preparar wraps o acompañar comidas. Elaboradas con ingredientes de calidad, son un producto de consumo masivo de la marca BIM.",wraps|tortillas|panqueques|pan de wrap,ACTUALIZAR
B18,Rapiditas Light 8p 220g BIM,"Descubre Rapiditas Light, el snack que está conquistando el paladar de los consumidores que buscan opciones saludables y deliciosas. Cada paquete contiene 8 unidades de 220g, perfectas para compartir o disfrutar en cualquier momento. Este producto se mueve rápidamente en el mostrador, ideal para compras por impulso, con un excelente margen de ganancia. Atrévete a ofrecer Rapiditas Light y atrae a un público consciente de su alimentación, aumentando así la rotación y rentabilidad de tu negocio.","Rapiditas Light de la marca BIM, paquete de 220g que contiene 8 unidades, elaboradas con ingredientes bajos en calorías, ideales para preparar rellenos dulces o salados. Producto apto para dietas con restricción calórica.",tortillitas|panqueques|wraps|pan liviano,ACTUALIZAR
B19,Madalenas Choc Rell DDL 1p 180g FLOW BIM,"¡Descubre las irresistibles Madalenas Choc Rell DDL de FLOW BIM! Con su suave masa y delicioso relleno de dulce de leche, cada bocado es una explosión de sabor que cautivará a tus clientes. Presentadas en un formato conveniente de 12 paquetes de 180g, son perfectas para exhibir en tu mostrador. Su atractivo y sabor único fomentan la compra por impulso, asegurando un alto margen de ganancia. ¡No dejes pasar la oportunidad de incrementar tus ventas con este delicioso producto!","Galletitas dulces Madalenas rellenas de chocolate y dulce de leche, marca Bimbo, presentación de 180g. Producto de repostería con textura esponjosa, ideal para meriendas y desayunos.",madalenas|galletitas|dulce de leche|rellenas,ACTUALIZAR
B20,Madalenas Marmoladas 1p 200g FLOW BIM,"Descubre el irresistible sabor de las Madalenas Marmoladas de FLOW BIM, una delicia que combina suavidad y un toque de chocolate en cada bocado. Presentadas en un práctico formato de 12 paquetes de 200g, estas madalenas son perfectas para el snack diario. Su diseño atractivo y sabor único impulsan las compras por impulso, asegurando una rápida rotación en tu tienda. Además, su margen de ganancia atractivo te garantiza un excelente retorno. ¡Haz que tus clientes disfruten de este placer irresistible!","Madalenas marmoladas de 200g, marca FLOW BIM, elaboradas con una mezcla de masa de bizcocho y chocolate, presentadas en porciones individuales, ideales para acompañar el té o café.",madalenas|bizcochos|marmoladas,ACTUALIZAR
B22,Madalenas Rellenas DDL 1p 180g FLOW BIM,"¡Descubre las irresistibles Madalenas Rellenas DDL de FLOW BIM! Con su suave textura y delicioso relleno, son el snack perfecto para cualquier momento del día. Presentadas en un práctico formato de 12 paquetes de 180g, estas madalenas son ideales para el mostrador de tu kiosco. Su atractivo sabor y presentación las convierten en una compra por impulso irresistible, asegurando una excelente rotación y margen de ganancia. ¡Haz que tus clientes disfruten y tu negocio crezca!","Madalenas rellenas de dulce de leche, marca Flow, presentación de 180 gramos, elaboradas con ingredientes de calidad, con un corazón de dulce de leche repostero, ideales para acompañar en meriendas o postres.",madalenas|magdalenas|muffins|pastelitos,ACTUALIZAR
V3,Madalenas Rellenas DDL 1p 180g FLOW VLT,"¡Descubre el irresistible sabor de las Madalenas Rellenas DDL! Con su suave textura y delicioso relleno, estas golosinas se han convertido en la tendencia favorita de los amantes del dulce. Cada paquete de 180g contiene 12 unidades, perfectas para exhibir en tu kiosco o almacén. Su atractivo diseño y sabor llamativo garantizan una compra por impulso, ofreciendo un margen de ganancia atractivo. Ideal para captar a ese público goloso que busca un momento de placer en cada bocado. ¡No te quedes sin ellas!","Magdalenas rellenas con dulce de leche, marca Flow, presentación de 180g, elaboradas con ingredientes como harina leudante, huevos y manteca, con un sabor a vainilla característico y textura esponjosa, ideales para consumo directo.",madalenas|magdalenas|pancitos|pan dulce,ACTUALIZAR
V5,Madalenas Marmoladas 1p 200g FLOW VLT,"¡Descubre el placer irresistible de las Madalenas Marmoladas! Con su combinación perfecta de sabores y textura esponjosa, este producto de la reconocida marca FLOW VLT atraerá a tus clientes en cada bocado. Presentadas en un práctico formato de 1 paquete de 200g, son ideales para el desayuno o la merienda. Su atractivo diseño y delicioso sabor generan compras por impulso, asegurando un margen atractivo y una rápida rotación. ¡No dejes pasar la oportunidad de deleitar a tus clientes y aumentar tus ventas!","Madalena marmolada marca Flow, presentada en un paquete de 200g, elaborada con una mezcla de masa suave y relleno de dulce de leche, ideal para acompañar en desayunos o meriendas.",madalena|marmolada|magdalena|dulce de leche|pastelito,ACTUALIZAR
T4,Magrela - Mortadela,"¡Descubre el irresistible sabor de la Mortadela Magrela! Este delicioso embutido es perfecto para satisfacer los antojos de tus clientes, convirtiéndose en la opción ideal para sándwiches y picadas. Presentado en formato de 12 displays de 500g, cada paquete garantiza frescura y calidad. La Mortadela Magrela es una compra por impulso que asegura un excelente margen de ganancia, ideal para tu público amante de los sabores tradicionales. ¡Aumenta tu rotación y haz que tus ventas se disparen con Magrela!","Mortadela Magrela elaborada con carne de cerdo, especias y grasa, presentada en formato de rodajas de 200 g, ideal para sándwiches y picadas.",fiambre|mortadela|morcilla|salchichón,ACTUALIZAR
Z3,VIA VITA - Chalitas Clásicas x 100 grs,"Descubre la irresistible crocancia de VIA VITA Chalitas Clásicas, el snack perfecto que encanta a todos. Presentadas en un práctico formato de 100 gramos, cada paquete es ideal para exhibir en tu kiosco o almacén. Su sabor auténtico y versatilidad las convierten en la opción favorita para acompañar cualquier momento. Con un alto potencial de compra por impulso y un atractivo margen de ganancia, este producto se convertirá en un must-have en tu mostrador. ¡Aumenta tus ventas hoy!","Chalitas clásicas de maíz marca Via Vita, presentación de 100 g, formulación libre de gluten, con sabor a jamón, textura crujiente, aptas para personas que requieren evitar el TACC en su alimentación.",galletitas|snack|picadas,ACTUALIZAR
Z4,VIA VITA - Chalitas Chimichurri x 100 grs,"Descubre el irresistible sabor de VIA VITA – Chalitas Chimichurri, un snack que combina tradición y modernidad en cada bocado. Presentadas en un formato de 12 paquetes de 100 gramos, estas chalitas son perfectas para acompañar cualquier momento. Su atractivo sabor a chimichurri las convierte en el complemento ideal para picadas y reuniones. Además, su fácil acceso y precio competitivo fomentan la compra por impulso, asegurando un excelente margen de ganancia y una rápida rotación en tu negocio. ¡No te quedes sin ellas!","Chalitas sabor chimichurri de la marca Via Vita, presentadas en un paquete de 100 g, elaboradas con harina de arroz, almidón de maíz, fécula de mandioca y especias deshidratadas, libres de gluten y aptas para celíacos.",galletitas|snacks|tortitas,ACTUALIZAR
Z5,VIA VITA - Chalitas con Semillas x 100 grs,"Descubre VIA VITA, las irresistibles Chalitas con Semillas que combinan sabor y salud en cada bocado. Presentadas en un práctico formato de 100 gramos, estas delicias son perfectas para el consumo diario y se adaptan a la tendencia de snacks saludables. Ofrece a tus clientes un producto ideal para picar entre comidas, con un atractivo especial para quienes buscan opciones nutritivas. Su alta demanda asegura una rotación rápida y un margen atractivo, convirtiéndolas en una adición imprescindible para tu mostrador. ¡Impulsa tus ventas con VIA VITA!","Chalitas con semillas Via Vita, snack salado sin TACC, presentado en bolsa de 100 g, elaborado con una mezcla de semillas, crujientes y libres de gluten, apto para celíacos.",galletitas|snack|tortitas|chalitas,ACTUALIZAR
Z7,VIA VITA - Chalitas Jamón x 100 grs,"Descubre el irresistible sabor de VIA VITA Chalitas de Jamón, un snack que conquistará a tus clientes en cada bocado. Presentadas en un formato conveniente de 100 grs, estas chalitas son perfectas para el consumo diario y ideales para acompañar en cualquier momento. Su atractivo precio y delicioso sabor garantizan una alta rotación en tu negocio, impulsando las compras por impulso. ¡No dejes pasar la oportunidad de aumentar tus ganancias con este producto que atraerá a toda la familia!","Chalitas sabor jamón marca Via Vita, presentación de 100 g, formulación libre de gluten, aptas para celíacos, con un contenido crujiente y ligero, ideales como snack. Requieren conservación en un lugar fresco y seco.",snack|galletitas|tortitas|crocantes,ACTUALIZAR
Z12,"VIA VITA - Crackers Lino, Chía & Quinoa x 150 grs","Descubre los irresistibles Crackers VIA VITA de Lino, Chía & Quinoa, un snack saludable que combina sabor y tendencia. Presentados en un formato práctico de 150 gramos, estos crackers son ideales para picar entre horas o acompañar tus comidas. Con un margen atractivo y alta rotación, son perfectos para captar la atención de clientes que buscan opciones saludables. Aprovecha la compra por impulso y ofrece un producto que no solo satisface, ¡sino que también nutre!","Crackers de quinoa con lino y chía marca Via Vita, presentados en un paquete de 150 gramos, elaborados con ingredientes saludables y ricos en fibra, ideales para un snack nutritivo.",galletitas|crackers|galletitas de quinoa,ACTUALIZAR
X1,MAIXANAS - Nachos Maíz & Girasol x 98 grs,"¡Descubre la explosión de sabor que ofrecen las MAIXANAS! Estos crujientes nachos de maíz y girasol son el snack perfecto para cualquier ocasión, atrayendo a un público diverso que busca calidad y placer en cada bocado. Presentados en un formato de 12 paquetes de 98 gramos, son ideales para exhibir en tu kiosco o almacén. Su irresistible sabor genera compras por impulso, asegurando una alta rotación y un atractivo margen de ganancia. ¡No dejes pasar esta oportunidad de incrementar tus ventas!","Nachos horneados de maíz y girasol, marca Maixanas, presentados en bolsa de 98 g, libres de gluten, ideales como snack. Contienen ingredientes naturales y son aptos para dietas sin gluten.",nachos|snack|picada,ACTUALIZAR
X3,MAIXANAS - Nachos Maíz Morado x 95 grs,"Descubre la explosión de sabor y color con MAIXANAS, los irresistibles nachos de maíz morado. Cada bolsa de 95 gramos está diseñada para captar la atención de tus clientes y fomentar la compra por impulso. Presentados en un formato de 12 unidades, estos nachos no solo son un snack delicioso, sino también una opción saludable y trendy. Con un margen atractivo, garantizan una rotación rápida en tu mostrador. ¡No dejes pasar la oportunidad de aumentar tus ventas con MAIXANAS!","Nachos de maíz morado, presentados en un paquete de 95 g, sin gluten, elaborados con maíz morado, ofreciendo un sabor distintivo y textura crujiente, ideales para acompañar salsas o dips.",nachos|totopos|chips de maíz,ACTUALIZAR
X4,MAIXANAS - Nachos Humus x 95 grs,"¡Descubre el sabor irresistible de MAIXANAS Nachos Humus! Con su textura crujiente y el toque único del humus, son el snack perfecto para cualquier ocasión. Presentados en un formato de 12 paquetes de 95 grs, estos nachos son ideales para el consumo inmediato. Su atractivo sabor los convierte en una opción de compra por impulso, garantizando alta rotación y un excelente margen de ganancia. Atrae a un público en busca de snacks saludables y sabrosos en tu kiosco. ¡No te los pierdas!","Snack de maíz tipo nachos elaborado con garbanzos y maíz, libre de gluten y sin aditivos, presentado en bolsa de 95 g, marca Maixanas. Producto apto para celíacos y fuente de proteína vegetal.",nachos|snack de maíz|snack de garbanzos,ACTUALIZAR
X5,MAIXANAS - Nachos Guacamole x 95 grs,"Descubre el irresistible sabor de MAIXANAS Nachos Guacamole, ¡el snack perfecto para cualquier ocasión! Presentados en un formato de 95 gramos, cada paquete es ideal para compartir o disfrutar solo. Vienen en cajas de 12 unidades, facilitando la exhibición en tu negocio. Este producto es un imán de compra por impulso, ideal para un público joven y moderno. Con un margen atractivo, garantizas rotación rápida y satisfacción de tus clientes. ¡Aprovecha esta tendencia y eleva tus ventas!","Nachos horneados sabor guacamole con palta y oliva, marca Maixana, presentación de 95 gramos, sin TACC, ideales para picadas y snacks. Producto libre de gluten.",nachos|snack|picada,ACTUALIZAR
X6,MAIXANAS - Frijoles Negros & Lino x 95 grs,"Descubre el sabor auténtico y la tendencia saludable de MAIXANAS Frijoles Negros & Lino. Este snack innovador de 95 gramos combina la textura crujiente con un perfil nutricional excepcional. Presentado en cajas de 12 unidades, es ideal para exhibir en tu mostrador y atraer a consumidores conscientes de su alimentación. Su atractivo gourmet y el creciente interés en opciones saludables aseguran una rotación rápida y un alto margen de ganancia. ¡No dejes pasar la oportunidad de incrementar tus ventas!","Snack a base de maíz sabor frijoles negros y lino, libre de gluten, vegano, sin colorantes ni conservantes, presentado en un paquete de 95 g. Producto horneado, opción más saludable que los fritos, adecuado para dietas restringidas.",snack de maíz|maizena|gusanito|puff|puff de maíz,ACTUALIZAR
X7,ANTOJITOS - Nacho Mexicano x 100 grs,"¡Descubre la explosión de sabor de ANTOJITOS Nacho Mexicano! Con su crujiente textura y auténtico sabor, son el snack ideal para cualquier ocasión. Presentado en un formato de 12 bolsas de 100 gramos, este producto es perfecto para exhibir en tu kiosco. Su atractivo en el punto de venta fomenta la compra por impulso, garantizando un alto margen de rentabilidad. ¡Atrae a los amantes de los snacks y aumenta tu rotación con ANTOJITOS, la elección perfecta para tus clientes!","Nachos mexicanos de maíz, presentados en un empaque de 100 gramos, ideales para compartir. Elaborados con masa de maíz nixtamalizado, horneados y sazonados, sin conservantes ni colorantes artificiales.",nachos|tortilla chips|crispetas|picadas,ACTUALIZAR
X8,ANTOJITOS - Nacho Cheddar x 95 grs,"¡Descubre ANTOJITOS - Nacho Cheddar, el snack que hará que tus clientes vuelvan por más! Con un irresistible sabor a queso cheddar, este producto es perfecto para satisfacer esos antojos en cualquier momento del día. Presentado en formato de 12 unidades de 95 gramos, es ideal para exhibir en tu mostrador. Su atractivo y sabor único fomentan la compra por impulso, generando un alto margen de rentabilidad y atrayendo a un público joven y amante de las snacks. ¡Aumenta tus ventas hoy!","Nachos de maíz sabor cheddar, marca Antojitos, presentados en bolsa de 95g, aptos para celíacos, sin gluten, ideales para compartir en reuniones o como snack.",nachos|crispetas|tortillitas|snack de maíz,ACTUALIZAR
