base_product_code,related_product_code,reason,is_mock
9,170,Opta por el Queso Cremoso Fraccionado para mayor cantidad y comodidad.,true
7,11,Elige el Queso Por Salut Light para una opción más saludable.,true
11,7,El Queso Por Salut es una opción más clásica y sabrosa.,true
211,1334,El Queso Azul Media Horma ofrece una presentación más conveniente.,true
195,1095,El Queso Criollo Caja x2 es una opción más práctica para tus clientes.,true
1095,1096,Opta por el Queso Criollo Fraccionado para mayor comodidad.,true
1098,1099,Elige el Queso Pategras para una opción más premium.,true
104,1098,El Queso Danbo es una opción más gourmet que el Queso Fontina.,true
1096,11,El Queso Holanda Fraccionado es una opción más conveniente.,true
1099,11,El Queso Pategras es una opción más premium que el Queso Por Salut Light.,true
