product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
150,DIFUSOR CON VARILLAS VAINILLA - VAINILLA/COCO - VAINILLA-LIMON - FRUTOS ROJOS - UVA - CHICLES - CITRICOS - LIMON - LAVANDA-LAVANDA/LIMON - BAMBU - VAINILLA/NARANJA - CONIGLIO — UNIDAD,4600.0,157,1,unidad,unidad,Aromas,Difusores,Dinamic,unidad,150|difusor con varillas vainilla - vainilla/coco - vainilla-limon - frutos rojos - uva - chicles - citricos - limon - lavanda-lavanda/limon - bambu - vainilla/naranja - coniglio|difusores|unidad|dinamic|dinamicquim|difusor|con|varillas|vainilla,0.28,0.23,"Aromatizante Difusor Con Varillas Vainilla - Vainilla/Coco - Vainilla-Limon, marca Dinamic, unidad, listo para usar.",,True,True,pagina-3
153,ESENCIA HORNILLO LAVANDA-LIMON-VAINILLA-FRUTILLA-DURAZNO-CANELA-MARINO — UNIDAD,1900.0,157,1,unidad,unidad,Aromas,Hornillos,Dinamic,unidad,153|esencia hornillo lavanda-limon-vainilla-frutilla-durazno-canela-marino|hornillos|unidad|dinamic|dinamicquim|esencia|hornillo|lavanda|limon,0.28,0.23,"Aromatizante Esencia Hornillo Lavanda-Limon-Vainilla-Frutilla-Durazno-Canela-Marino, marca Dinamic, unidad, listo para usar.",,True,True,pagina-3
152,PERFUMANTE VEHICULO VAINILLA-LIMON-LAVANDA-CONIGLIO-VIVEX-UVA — UNIDAD,4100.0,300,1,unidad,unidad,Automotriz,Aromatizante,Dinamic,unidad,152|perfumante vehiculo vainilla-limon-lavanda-coniglio-vivex-uva|aromatizante|unidad|dinamic|dinamicquim|perfumante|vehiculo|vainilla|limon,0.62,0.57,"Producto automotor Perfumante Vehiculo Vainilla-Limon-Lavanda-Coniglio-Vivex-Uva, marca Dinamic, unidad, listo para usar.",,True,True,pagina-3
1002,SHAMPOO P/ AUTOMOTOR C/ ABRILLANTADOR — 5 L,1900.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1002|shampoo p/ automotor c/ abrillantador|limpieza|5 l|dinamic|dinamicquim|shampoo|automotor|abrillantador,0.62,0.57,"Producto automotor Shampoo P/ Automotor C/ Abrillantador, marca Dinamic, 5 L, listo para usar.",,True,True,pagina-1
1003,REVIVIDOR SILICONADO INTERIOR — 5 L,5980.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1003|revividor siliconado interior|limpieza|5 l|dinamic|dinamicquim|revividor|siliconado|interior,0.62,0.57,"Producto automotor Revividor Siliconado Interior, marca Dinamic, 5 L, listo para usar.",,True,True,pagina-1
1004,ESPUMA ACTIVA P/ CARROSERIA CONCENTRADA — 5 L,3360.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1004|espuma activa p/ carroseria concentrada|limpieza|5 l|dinamic|dinamicquim|espuma|activa|carroseria|concentrada,0.62,0.57,"Producto automotor Espuma Activa P/ Carroseria Concentrada, marca Dinamic, 5 L, dilución 1+4.",,True,True,pagina-1
1005,RENOVADOR CAUCHO EXTRA (ROSA) — 5 L,2960.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1005|renovador caucho extra (rosa)|limpieza|5 l|dinamic|dinamicquim|renovador|caucho|extra|rosa,0.62,0.57,"Producto automotor Renovador Caucho Extra (Rosa), marca Dinamic, 5 L, listo para usar.",,True,True,pagina-1
1006,RENOVADOR CAUCHO NEGRO — 5 L,2960.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1006|renovador caucho negro|limpieza|5 l|dinamic|dinamicquim|renovador|caucho|negro,0.62,0.57,"Producto automotor Renovador Caucho Negro, marca Dinamic, 5 L, listo para usar.",,True,True,pagina-1
1007,QUITABICHOS/ LAVA LONAS — 5 L,1790.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1007|quitabichos/ lava lonas|limpieza|5 l|dinamic|dinamicquim|quitabichos|lava|lonas,0.62,0.57,"Producto automotor Quitabichos/ Lava Lonas, marca Dinamic, 5 L, dilución 1+1.",,True,True,pagina-1
1133,PERFUMES P/TAPIZADOS AUTOS — 5 L,3180.0,300,1,unidad,unidad,Automotriz,Limpieza,Dinamic,5 L,1133|perfumes p/tapizados autos|limpieza|5 l|dinamic|dinamicquim|perfumes|tapizados|autos,0.62,0.57,"Producto automotor Perfumes P/Tapizados Autos, marca Dinamic, 5 L, listo para usar.",,True,True,pagina-1
