product_code,nombre,descripcion
10381,Knorr Sabor Pollo LIM/OREG 21g + Bolsa,"Sopa o caldo Sabor Pollo LIM/OREG 21g +, marca KNORR, 21 g, rubro almacén."
11381,Knorr Sabor Pollo CRIOLLO 21g + Bolsa,"Sopa o caldo Sabor Pollo CRIOLLO 21g +, marca KNORR, 21 g, rubro almacén."
12381,Knorr Sabor Carne ROM/TOM 21g + Bolsa,"Sopa o caldo Sabor Carne ROM/TOM 21g +, marca KNORR, 21 g, rubro almacén."
13381,Knorr Sabor Carne HIE/ESP 21g + Bolsa,"Sopa o caldo Sabor Carne HIE/ESP 21g +, marca KNORR, 21 g, rubro almacén."
15381,Knorr Sabor Barbacoa 21g + Bolsa,"Sopa o caldo Sabor Barbacoa 21g + Bolsa, marca KNORR, 21 g, rubro almacén."
16381,Knorr Sabor Pollo Oriental 21g + Bolsa,"Sopa o caldo Sabor Pollo Oriental 21g +, marca KNORR, 21 g, rubro almacén."
381,Knorr Sabor Carne CEB/AJO 21g + Bolsa,"Sopa o caldo Sabor Carne CEB/AJO 21g +, marca KNORR, 21 g, rubro almacén."
10102,Ajo Picado Gourmet 200G GULLO,"Condimento Ajo Picado Gourmet 200G, marca GULLO, 200 g, rubro almacén."
1078,Grasa vacuna ESANI 1 Kg,"Insumo Grasa vacuna ESANI 1 Kg, 1 kg, rubro almacén."
10910,Adobo para pizzas 500g CENTURION,"Condimento Adobo para pizzas 500g, marca CENTURION, 500 g, rubro almacén."
1178,Grasa de Cerdo ESANI 500g,"Insumo Grasa de Cerdo ESANI 500g, 500 g, rubro almacén."
208,Grasa Marcrem 1 KG,"Insumo Grasa Marcrem 1 KG, 1 kg, rubro almacén, presentación insumos panadería."
209,Grasa Marcrem 500 G,"Insumo Grasa Marcrem 500 G, 500 g, rubro almacén, presentación insumos panadería."
435,Especias Baharat 200G (9 Especies),"Condimento Especias Baharat 200G (9 Especies), 200 g, rubro almacén."
439,Especias Tandoori Mix 200G (8 Especies),"Condimento Especias Tandoori Mix 200G (8, 200 g, rubro almacén."
440,Pasta de Ajo 200G Gullo,"Condimento Pasta de Ajo 200G, marca GULLO, 200 g, rubro almacén."
78,Grasa vacuna ESANI 500g,"Insumo Grasa vacuna ESANI 500g, 500 g, rubro almacén, presentación insumos panadería."
910,Adobo para pizzas 20g CENTURION,"Condimento Adobo para pizzas 20g, marca CENTURION, 20 g, rubro almacén."
912,Canela Molida 25g CENTURION,"Condimento Canela Molida 25g, marca CENTURION, 25 g, rubro almacén."
921,Tomillo 25g CENTURION,"Condimento Tomillo 25g, marca CENTURION, 25 g, rubro almacén, presentación especias y condimentos."
922,Ajo granulado 25g CENTURION,"Condimento Ajo granulado 25g, marca CENTURION, 25 g, rubro almacén."
923,Albahaca 25g CENTURION,"Condimento Albahaca 25g, marca CENTURION, 25 g, rubro almacén, presentación especias y condimentos."
930,Coco Rallado 25g CENTURION,"Condimento Coco Rallado 25g, marca CENTURION, 25 g, rubro almacén."
941,Anis en grano 25g Centurion,"Condimento Anis en grano 25g, marca CENTURION, 25 g, rubro almacén."
942,Laurel 10g Centurion,"Condimento Laurel 10g, marca CENTURION, 10 g, rubro almacén, presentación especias y condimentos."
10113,Paleta Especial Fox Oval,"Fiambre Paleta Especial Oval, marca FOX, rubro fiambres, presentación fiambres y embutidos."
103,PALETA AZUL GOGGI KG,"Fiambre PALETA AZUL KG, marca GOGGI, rubro fiambres, presentación fiambres y embutidos."
10302,Torta Veneziana c/Chips 400G,"Panificado Torta c/Chips 400G, marca VENEZIANA, 400 g, rubro panificados."
104,"Mortadela Paladini 2,5 KG","Fiambre Mortadela 2,5 KG, marca PALADINI, 2.5 kg, rubro fiambres."
10484,Jade al Pesto HORMA,"Salsa Jade al Pesto HORMA, rubro aderezos, presentación salsas, Código 10484, catálogo MORENO."
105,"Mortadela Paladini 4,5 KG","Fiambre Mortadela 4,5 KG, marca PALADINI, 4.5 kg, rubro fiambres."
10659,Pickle Mixto VANOLI Frasco 330g,"Producto alimenticio Pickle Mixto Frasco 330g, marca VANOLI, 330 g, rubro alimentos."
10660,Pepinillos VANOLI Frasco 330 G,"Producto alimenticio Pepinillos Frasco 330 G, marca VANOLI, 330 g, rubro alimentos."
10669,Chimichurri Clasico VANOLI PET 350cc,"Aderezo Chimichurri Clasico PET 350cc, marca VANOLI, 350 cc, rubro aderezos."
10677,Chimichurri Ahumado VANOLI Pet 350cc,"Aderezo Chimichurri Ahumado Pet 350cc, marca VANOLI, 350 cc, rubro aderezos."
1075,Lomo a las Finas Hierbas FOX,"Producto alimenticio Lomo a las Finas Hierbas, marca FOX, rubro alimentos."
111,Paleta Barrilito FOX KG,"Fiambre Paleta Barrilito KG, marca FOX, rubro fiambres, presentación fiambres y embutidos."
11255,Tonadita CHEDDAR AMERICANO 140 Fetas,"Producto alimenticio CHEDDAR AMERICANO 140 Fetas, marca TONADITA, rubro alimentos."
11270,Patagonia Tonadita 3 KG,"Producto alimenticio Patagonia 3 KG, marca TONADITA, 3 kg, rubro alimentos."
11295,Tortilla Espinaca CORMILLOT 165 G,"Panificado Tortilla Espinaca 165 G, marca CORMILLOT, 165 g, rubro panificados."
113,Paleta Especial Fox Cuadrada,"Fiambre Paleta Especial Cuadrada, marca FOX, rubro fiambres, presentación fiambres y embutidos."
114,Paleta Sandwichera Fox,"Fiambre Paleta Sandwichera, marca FOX, rubro fiambres, presentación fiambres y embutidos."
11840,Raviol Villa D'agri 500G pollo y jamon,"Fiambre Raviol 500G pollo y jamon, marca VILLA D'AGRI, 500 g, rubro fiambres."
11843,Ravioles Ricota/Espinaca1 KG BOLSA V. DAGRI,"Queso Ravioles Ricota/Espinaca1 KG BOLSA, marca V. DAGRI, 1 kg, rubro lácteos."
12760,Mortadela Mini 300g C. AUSTRAL,"Fiambre Mortadela Mini 300g, marca C. AUSTRAL, 300 g, rubro fiambres."
12840,Raviol Villa D'agri 500G Ricota,"Queso Raviol 500G Ricota, marca VILLA D'AGRI, 500 g, rubro lácteos."
13302,Torta Veneziana Limon 400G,"Panificado Torta Limon 400G, marca VENEZIANA, 400 g, rubro panificados."
13840,Raviol Villa D'agri 500G Ricota y Espinaca,"Queso Raviol 500G Ricota y Espinaca, marca VILLA D'AGRI, 500 g, rubro lácteos."
14270,Patagonia 20G x90 Un. TONADITA,"Producto alimenticio Patagonia 20G x90 Un, marca TONADITA, 20 g, rubro alimentos."
160,Mini Fynbo x KG,"Producto alimenticio Mini Fynbo x KG, rubro alimentos, presentación general."
1614,Brownie EMETH 425g,"Panificado Brownie 425g, marca EMETH, 425 g, rubro panificados, presentación panificados."
165,Ralladito Quesera 40 G,"Producto alimenticio Ralladito Quesera 40 G, 40 g, rubro alimentos."
167,Leberwust FOX,"Producto alimenticio Leberwust, marca FOX, rubro alimentos, presentación general, Código 167, catálogo MORENO."
18,Bondiola Fox,"Fiambre Bondiola, marca FOX, rubro fiambres, presentación fiambres y embutidos."
187,Tapa Pascualina La Mocita Hojaldre,"Panificado Tapa Pascualina La Mocita Hojaldre, rubro panificados, presentación panificados."
