base_product_code,related_product_code,reason,is_mock
44,309,Dulce de leche Cremigal con tostadas saladas para desayuno o merienda.,true
44,83,Dulce de leche Cremigal + manteca Cremigal para untar.,true
43,13309,Dulce de leche Cremigal 1kg con tostadas multicereal Cormillot.,true
10195,44,Yogur Cremigal frutilla + dulce de leche Cremigal para postre.,true
136,63,Queso barra Cremigal con jamón cocido Fox para sándwich.,true
136,168,Queso Cremigal + salame bastón Fox para picada.,true
83,309,Manteca Cremigal con tostadas Veneziana.,true
10,228,Aceite de oliva Gullo + aceto balsámico Gullo para ensaladas.,true
10,656,Aceite de oliva Gullo + aceitunas verdes Vanoli para picada.,true
656,11356,Aceitunas Vanoli + mayonesa Hellmann's para sandwiches y picadas.,true
63,11356,Jamón Fox + mayonesa Hellmann's para armado de sándwiches.,true
168,10,Salame Fox + aceite de oliva Gullo para picada.,true
19287,44,Tostex oliva + dulce de leche Cremigal para merienda.,true
705,1,Aceite Cormillot + pepinillos Gullo para acompañamientos.,true
