product_code,nombre,precio_lista_1,stock,unidades_por_bulto,unidad_minima_de_venta,umv_tipo,categoria_1,categoria_2,categoria_3,categoria_4,aliases,rotacion_index,mental_priority,descripcion,image_url,en_catalogo,is_mock,fuente_hoja
11016001,VIRGEN LEV. FRESCA PAQ 500G 100A,5700,480,1,paquete,unidad,Levadura,Fresca,Prensada,Paquete,virgen lev. fresca paq 500g|fresca|prensada|virgen lev. fresca paq 500g por paquete,0.95,0.9,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 0.5 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
32025093,PASTELGRAS GRASA CJX20KG - 100A,129000,440,1,caja,unidad,Grasos,Grasas/Shortenings,Refinada Dura,Caja,pastelgras grasa cjx20kg -|grasas/shortenings|refinada dura|pastelgras grasa cjx20kg - por caja,0.869,0.9,"Grasas/Shortenings Calsa para panificación, línea Refinada Dura, presentación comercial de 20 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
40154114,MTK MARG. MASAS CJ4PILX5KG - 100A,144800,440,4,caja,unidad,Grasos,Margarinas,Masas,Caja,mtk marg. masas cj4pilx5kg -|margarinas|masas|mtk marg. masas cj4pilx5kg - por caja,0.867,0.9,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
73166030,I360 PREM. PAN DE QUESO. BOL2KG,21100,430,1,bolsa,unidad,BI,Premezclas,Panaderia,Bolsa,prem. pan de queso. bol2kg|premezclas|panaderia|prem. pan de queso. bol2kg por bolsa,0.861,0.9,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 2 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
11016082,VIRGEN LEV. FRESCA CJ 20 PAQ 500G 100A,108300,430,20,caja,unidad,Levadura,Fresca,Prensada,Caja,virgen lev. fresca cj 20 paq 500g|fresca|prensada|virgen lev. fresca cj 20 paq 500g por caja,0.86,0.9,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
11058181,CALSA LPF CLASICA CJ 4D/20FP/50G 100 A,40800,410,80,caja,unidad,Levadura,Fresca,Prensada,Caja,calsa lpf clasica cj 4d/20fp/50g 100 a|fresca|prensada|calsa lpf clasica cj 4d/20fp/50g 100 a por caja,0.816,0.9,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 4 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
40178014,PREMIUM MASAS LOW TRANS CJ4PILX5KG 100A,134300,410,4,caja,unidad,Grasos,Margarinas,Masas,Caja,premium masas low trans cj4pilx5kg|margarinas|masas|premium masas low trans cj4pilx5kg por caja,0.812,0.9,"Margarinas Calsa para panificación, línea Masas, presentación comercial de 20 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
11081082,LEUDEX LEV. FRESCA CJ 20 PAQ 500G,112300,410,20,caja,unidad,Levadura,Fresca,Prensada,Caja,leudex lev. fresca cj 20 paq 500g|fresca|prensada|leudex lev. fresca cj 20 paq 500g por caja,0.811,0.9,"Fresca Calsa para panificación, línea Prensada, presentación comercial de 10 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
40153114,MTK MARG. HOJAL CJ4PILX5KG- 100A,141800,410,4,caja,unidad,Grasos,Margarinas,Hojaldre,Caja,mtk marg. hojal cj4pilx5kg-|margarinas|hojaldre|mtk marg. hojal cj4pilx5kg- por caja,0.809,0.9,"Margarinas Calsa para panificación, línea Hojaldre, presentación comercial de 20 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
73166143,I360 PREM. PAN DE QUESO. CJ6X2KG,120100,410,6,caja,unidad,BI,Premezclas,Panaderia,Caja,prem. pan de queso. cj6x2kg|premezclas|panaderia|prem. pan de queso. cj6x2kg por caja,0.806,0.9,"Premezclas Calsa para panificación, línea Panaderia, presentación comercial de 12 kg.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
72920022,LP KOLAROMA LIMON BIDON 1 LT,27400,400,1,bidon,unidad,BI,Esencias y Colorantes,Esencia & Color,Bidon,kolaroma limon bidon 1 lt|esencias y colorantes|esencia & color|kolaroma limon bidon 1 lt por bidon,0.796,0.9,"Esencias y Colorantes Calsa para panificación, línea Esencia & Color, presentación comercial de 1 l.",,True,False,LISTA PRODUCTOS AL 23092026 + ventas 2024-2026
