base_product_code,related_product_code,reason,is_mock
1415,1700,La pala de residuos junta lo que barre la escoba SUNDE.,true
7000,1600,La pala clip necesita el cabo de madera con rosca.,true
FS-701,1600,El escobillón de cerda (cabezal) se arma con cabo de madera.,true
1523,1608,Lampazo barrendero 0.80 m + cabo para barrendero.,true
SND-2523,1608,Lampazo premium SUNDE 0.80 m: sumá el cabo barrendero.,true
3410,4204,Detergente Albo 5 L con lavandina Albo 5 L para el mismo pedido.,true
8026,SND-568,Trapo de piso + rejilla lava-vajilla SUN-D (marca propia).,true
LNN-2460,8026,Balde oval de colores con trapo de piso para el mismo local.,true
2600,1950,Sopapa de goma + cabo específico para sopapa.,true
160-12,072-10,Sahumerio lavanda x100 con veloncito aromático lavanda.,true
051-39,160-33,Esencia palo santo + sahumerio palo santo x100.,true
MK-40N,8026,Secador de goma Make con trapo de piso para terminar el piso.,true
1802,B2510,Barrehoja de jardín con jardinera N°45 para el mismo cliente de patio.,true
B3140,A2470,Olla N°20 con abrelatas Loekemeyer (bazar de cocina).,true
