base_product_code,related_product_code,reason,is_mock
1079,15006,Pasá del Pantene Liso Infinito 200 ml al 400 ml: más margen por unidad y menos reposición.,true
552,551,Head & Shoulders Anticómezón: de 180 ml a 375 ml. Mismo SKU en formato grande.,true
8006,1880,Pasta Oral-B 123: de 70 g a 150 g. El pack chico empuja al de mayor ticket.,true
8105,8106,Cepillo Oral-B 123: de x1 a blister x2. Mejor precio por unidad para el PdV.,true
880,1098,Downy Brisa Suave: de botella 350 ml a 1 L. Formato de mayor rotación en almacén.,true
1641,1643,Magistral limón: de 300 ml a 750 ml. El envase grande rinde más en góndola.,true
18342,18343,Zorro jabón líquido: de 800 ml a bidón 3 L. Mejor costo por litro para el mayorista.,true
11011,11012,Yerba Taragüi con palo: de 1/2 kg a 1 kg. El kilo es el pedido habitual.,true
10043,10040,Dr Lemon vodka: de lata 473 ml a 1 L. Más litros por nota.,true
10054,10053,Fernet 1882: de 450 ml a 750 ml. Misma marca en botella más vendida.,true
1014,1015,Duracell AA: de x2 a x4. Pack más grande para kiosco.,true
18416,18415,Ace jabón líquido: de botella 800 ml a pouch 3 L.,true
