codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
89010025,Pineapple Chunks frozen 30 lb-Box 30 lb (1x30lb),"¡Descubre la frescura de la piña en cada bocado con nuestros Pineapple Chunks congelados! Este versátil producto ofrece un sabor tropical irresistible, ideal para smoothies, postres y snacks. Cada caja de 30 lb contiene 1 conveniente formato que facilitará tu inventario. Al tenerlo en tu mostrador, atraerás a clientes en busca de opciones saludables y deliciosas, aumentando así tus ventas por impulso. ¡Maximiza tu rentabilidad y satisface el antojo de tus consumidores con esta deliciosa opción!","Trozos de piña congelados IQF de 30 lb en caja, procesados para mantener su frescura y calidad. Ideal para la preparación de smoothies y postres.",trozos de piña|piña congelada|piña en cubos,ACTUALIZAR
736952201942,Spinach leaf 3lb BENFRESH,"Descubre la frescura y versatilidad de las hojas de espinaca Spinach Leaf 3lb BENFRESH, el aliado perfecto para tus platillos saludables. Presentado en cómodos empaques de 3 libras, ideal para minoristas que buscan ofrecer calidad. Este producto no solo atrae a los amantes de la cocina saludable, sino que también asegura una rápida rotación en tu mostrador. Atrae a un público consciente de su alimentación y disfruta de un margen atractivo en cada venta. ¡Hazlo parte de tu oferta!","Espinaca congelada IQF en hojas sueltas, presentada en bolsa de 3 lb, marca Benfresh. Producto 100% natural, sin OGM ni aditivos, ideal para la industria alimentaria, manteniendo las propiedades del producto fresco.",espinaca|spinach,ACTUALIZAR
74987455943,"Broccoli frozen 22,04 lb","Descubre el delicioso y nutritivo Broccoli Frozen, un aliado perfecto para tus clientes que buscan comida saludable y rápida. Presentado en un formato conveniente de 22,04 lb, ideal para abastecer tu negocio. Este producto no solo es versátil en la cocina, sino que también es atractivo para quienes buscan opciones saludables. Ofrece un excelente margen de ganancia y fomenta la compra por impulso, especialmente entre familias y jóvenes. ¡Aprovecha la tendencia de alimentos congelados y añade este producto a tu mostrador!","Brócoli congelado IQF en presentación de 22,04 lb, compuesto por floretes y tallos, ideal para preparación de platos y como complemento nutricional en comidas diarias.",brócoli|broccoli,ACTUALIZAR
89010005,Packing goods Box,"Descubre la versatilidad de **Packing Goods Box**, la solución ideal para tus necesidades de almacenamiento y organización. Cada caja viene en un práctico formato de 12 unidades, perfectas para exhibir en tu almacén o kiosco. Su diseño atractivo y funcional no solo atraerá a tus clientes, sino que también optimizará tu espacio. Con un excelente margen de ganancia y alta rotación, este producto es perfecto para compras por impulso, asegurando que tus ventas se disparen. ¡No dejes pasar esta oportunidad!","Caja de cartón corrugado para embalaje (packing goods), material de packaging B2B. No es un producto alimenticio.",caja de cartón|caja de embalaje|packing box,ACTUALIZAR
736952201683,"Spinach Leaf frozen 0,75lb BENFRESH","Descubre el delicioso sabor y la frescura inigualable de las hojas de espinaca congeladas BENFRESH. En un práctico formato de 0,75 lb, cada paquete ofrece una opción saludable y versátil para tus clientes, ideal para guisos, batidos o como acompañamiento. Con 12 unidades por display, maximiza tu espacio y atrae a un público que busca calidad y conveniencia. Aumenta tus ventas con un producto que promueve la compra por impulso, garantizando un margen atractivo para tu negocio. ¡No te quedes sin ellas!","Espinaca congelada IQF en hojas, presentada en empaque de 0.75 lb, marca Benfresh, ideal para uso en cocina y preparación de platos. Producto de alta calidad, manteniendo las propiedades nutricionales de la espinaca fresca.",espinaca|spinach,ACTUALIZAR
89090094,Pineapple chunk frozen 22 lb,"¡Descubre el sabor tropical con nuestros trozos de piña congelados de 22 lb! Perfectos para batidos, postres o cócteles, estos deliciosos chunks son ideales para atraer a los amantes de lo exótico. Presentados en cajas de 22 lb, garantizan un abastecimiento óptimo para tu negocio. Su versatilidad y frescura impulsan las compras por impulso, ofreciendo un excelente margen de ganancia. Colócalos en tu mostrador y deleita a tus clientes con esta opción refrescante y nutritiva, perfecta para toda la familia.","Trozos de piña congelados IQF en presentación de 22 lb, pre-cortados para facilitar su uso, preservando la frescura y calidad de la fruta. Ideal para uso en repostería, batidos y ensaladas.",piña|trozos de piña|chunks de piña,ACTUALIZAR
89010020,Blackberries frozen 30 lb,"Descubre la frescura y el sabor de las Blackberries Frozen, perfectas para deleitar a tus clientes en cualquier momento. Presentadas en un práctico formato de 30 lb, cada bolsa está repleta de deliciosas moras congeladas, ideales para smoothies, postres y snacks. Su versatilidad y atractivo las convierten en un producto estrella en tu kiosco, fomentando compras por impulso. Con un excelente margen de rentabilidad, ¡mantén a tus clientes volviendo por más y disfruta de un rápido movimiento de inventario!","Moras (blackberries) congeladas IQF en presentación de 30 lb, individualmente congeladas para preservar frescura y textura, ideales para batidos, postres y repostería.",mora|blackberry|zarzamora,ACTUALIZAR
736952196002,Strawberries frozen 5 lb BENFRESH-Box 30 lb (6x5lb),"¡Descubre el irresistible sabor de las fresas congeladas BENFRESH! Perfectas para batidos, postres o simplemente como un snack refrescante, estas fresas son la tendencia que tus clientes buscan. Presentadas en una caja de 30 lb que incluye 6 bolsas de 5 lb, facilitan la reposición y almacenamiento. Su alta calidad asegura una rotación rápida en tu mostrador, ideal para compras por impulso. Ofrece a tus clientes un producto delicioso y atractivo que generará márgenes atractivos en tu negocio.","Fresas congeladas IQF, presentadas en caja de 30 lb (6x5 lb), marca Benfresh, ricas en vitaminas, minerales y antioxidantes, ideales para uso en repostería, batidos y postres.",fresas|frutillas,ACTUALIZAR
858000004739,Coconut Tropical Sorbet 3 gal,"Descubre el refrescante Coconut Tropical Sorbet, la delicia que transporta a tus clientes a una isla paradisíaca con cada cucharada. Presentado en un formato de 3 galones, este cremoso sorbete es ideal para kioscos y almacenes que buscan ofrecer un producto irresistible. Su frescura y sabor auténtico fomentan las compras por impulso, garantizando una alta rotación y un atractivo margen de ganancias. Atrae a amantes del helado y de lo tropical. ¡Incorpora esta joya en tu mostrador hoy mismo!","Sorbet de coco tropical de 3 galones, elaborado con crema de coco orgánica, puré de coco y jarabe de arroz orgánico, con adición de aceite MCT. Producto ideal para la elaboración de bowls y smoothies.",sorbete de coco|sorbete tropical|sorbete de fruta|coco,ACTUALIZAR
89090120,Passion fruit pulp 5 lb,"Descubre la irresistible pulpa de maracuyá de 5 lb, el secreto detrás de los sabores tropicales que conquistarán a tus clientes. Este formato práctico es perfecto para generar deliciosas bebidas y postres, atrayendo a los amantes de lo exótico. Cada caja incluye 4 unidades, ideal para tu negocio. Su alta rentabilidad y atractivo para la compra por impulso aseguran una rotación rápida en tu mostrador. ¡Aprovecha la tendencia de sabores tropicales y haz que tu kiosco destaque con esta delicia!","Pulpa de maracuyá congelada, presentada en bolsa de 5 lb, elaborada con 100% fruta real, con baja viscosidad y alta acidez, ideal para la preparación de cócteles, jugos y postres. Marca Benfresh.",maracuyá|fruta de la pasión,ACTUALIZAR
74987455859,Mix Berries frozen 10 lb (2x5lb),"Descubre el delicioso Mix Berries Frozen, una mezcla irresistible de fresas, arándanos y frambuesas que encantará a tus clientes. Este formato de 10 lb, dividido en dos bolsas de 5 lb, es perfecto para facilitar su uso y almacenamiento. Ideal para batidos, postres o como complemento en yogures, garantiza una alta rotación en tu tienda. Atrae a los amantes de la fruta fresca y saludable, maximizando tus márgenes de ganancia con cada venta por impulso. ¡No te quedes sin él!","Mezcla de frutas congeladas IQF de 10 lb (2x5 lb) que incluye fresas, arándanos, frambuesas y moras en proporciones iguales, garantizando calidad premium y sabor jugoso.",frutillas|arándanos|frambuesas|moras|berries,ACTUALIZAR
736952201751,"Broccoli Floret frozen 0,75lb BENFRESH","¡Descubre la frescura del brócoli con BROCCOLI FLORET de BENFRESH! Este delicioso brócoli congelado, por su formato de 0,75 lb, es perfecto para agregar un toque saludable a cualquier plato. Presentado en cajas de 12 unidades, es ideal para optimizar tu espacio y ofrecer a tus clientes una opción nutritiva y sabrosa. Su rápida preparación y versatilidad lo convierten en una compra por impulso, asegurando un excelente margen de ganancia y alta rotación en tu negocio. ¡Haz que tus ventas florezcan!","Brócoli congelado en floretes, presentado en bolsa de 0.75 lb, marca Benfresh, procesado mediante tecnología IQF para preservar frescura y nutrientes. Ideal para uso en comidas rápidas y saludables.",brócoli|broccoli,ACTUALIZAR
