client_phone,session_id,sender_type,type,message,content,created_at,is_mock
549388742104,549388742104,ai,ai,"Hola Despensa Don Ramón, vi que tenes un pedido abierto por MARINARO UVA 12X500 y queria ayudarte a cerrarlo.","Hola Despensa Don Ramón, vi que tenes un pedido abierto por MARINARO UVA 12X500 y queria ayudarte a cerrarlo.",2026-08-31 06:02:09,true
549388742104,549388742104,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-31 06:03:29,true
549388742104,549388742104,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-08-31 06:04:22,true
549388742104,549388742104,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-31 06:05:47,true
549388742104,549388742104,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-31 06:06:24,true
549388742105,549388742105,ai,ai,"Hola Kiosco El Andino, vi que tenes un pedido abierto por MARINARO COLA 4X3 PREMIUM y queria ayudarte a cerrarlo.","Hola Kiosco El Andino, vi que tenes un pedido abierto por MARINARO COLA 4X3 PREMIUM y queria ayudarte a cerrarlo.",2026-08-31 05:02:09,true
549388742105,549388742105,human,human,"Hola, queria hacer un reclamo por producto faltante.","Hola, queria hacer un reclamo por producto faltante.",2026-08-31 05:02:58,true
549388742105,549388742105,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-08-31 05:03:30,true
549388742105,549388742105,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-31 05:05:30,true
549388742105,549388742105,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-31 05:06:51,true
549388742106,549388742106,ai,ai,"Hola Almacén La Quebrada, vi que tenes un pedido abierto por MARINARO UVA 12X500 y queria ayudarte a cerrarlo.","Hola Almacén La Quebrada, vi que tenes un pedido abierto por MARINARO UVA 12X500 y queria ayudarte a cerrarlo.",2026-08-31 16:02:09,true
549388742106,549388742106,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-31 16:03:12,true
549388742106,549388742106,ai,ai,Gracias por avisarnos. Ya tomo el caso por precio distinto al acordado y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por precio distinto al acordado y lo escalo para revision.,2026-08-31 16:04:21,true
549388742106,549388742106,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-31 16:05:30,true
549388742106,549388742106,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-31 16:06:33,true
549388742107,549388742107,ai,ai,"Hola Maxikiosco San Pedro, vi que tenes un pedido abierto por AGUA MARINARO 12X500 y queria ayudarte a cerrarlo.","Hola Maxikiosco San Pedro, vi que tenes un pedido abierto por AGUA MARINARO 12X500 y queria ayudarte a cerrarlo.",2026-08-31 15:02:09,true
549388742107,549388742107,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-31 15:03:45,true
549388742107,549388742107,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-08-31 15:04:25,true
549388742107,549388742107,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-31 15:05:27,true
549388742107,549388742107,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-31 15:06:05,true
549388742108,549388742108,ai,ai,"Hola Vinoteca Puna, vi que tenes un pedido abierto por TERMA CUYANO 12X1,35 y queria ayudarte a cerrarlo.","Hola Vinoteca Puna, vi que tenes un pedido abierto por TERMA CUYANO 12X1,35 y queria ayudarte a cerrarlo.",2026-08-31 14:02:09,true
549388742108,549388742108,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-31 14:03:47,true
549388742108,549388742108,ai,ai,Te confirmo que el pedido P-00105 sigue en curso por un total de 131560.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00105 sigue en curso por un total de 131560.00. Si queres te lo dejo cerrado hoy.,2026-08-31 14:05:09,true
549388742108,549388742108,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-31 14:05:55,true
549388742108,549388742108,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-31 14:07:19,true
549388742109,549388742109,ai,ai,"Hola Bar El Palomar, vi que tenes un pedido abierto por PAPA QUENTO BBQ 18X82 y queria ayudarte a cerrarlo.","Hola Bar El Palomar, vi que tenes un pedido abierto por PAPA QUENTO BBQ 18X82 y queria ayudarte a cerrarlo.",2026-08-31 13:02:09,true
549388742109,549388742109,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-31 13:03:01,true
549388742109,549388742109,ai,ai,Te confirmo que el pedido P-00106 sigue en curso por un total de 205560.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00106 sigue en curso por un total de 205560.00. Si queres te lo dejo cerrado hoy.,2026-08-31 13:04:21,true
549388742109,549388742109,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-31 13:06:16,true
549388742109,549388742109,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-31 13:07:35,true
549388742110,549388742110,ai,ai,"Hola Rotisería Doña Rosa, vi que tenes un pedido abierto por YERBA VERDEFLOR 12X500 BOLDO y queria ayudarte a cerrarlo.","Hola Rotisería Doña Rosa, vi que tenes un pedido abierto por YERBA VERDEFLOR 12X500 BOLDO y queria ayudarte a cerrarlo.",2026-08-31 12:02:09,true
