base_product_code,related_product_code,reason,is_mock
9,184,"El Queso Cremoso es ideal para acompañar con Queso Rallado, perfecto para realzar tus platos.",true
7,195,"El Queso Por Salut combina perfectamente con el Queso Criollo, ideal para picadas.",true
11,176,"El Queso Por Salut Light es ideal para disfrutar con Crema Doble, un deleite cremoso.",true
211,17,"El Queso Azul es un excelente acompañante para el Queso Reggianito, perfecto para tablas.",true
1334,1099,"El Queso Azul Media Horma combina bien con el Queso Pategras, ideal para untar.",true
195,1096,"El Queso Criollo es un excelente complemento para el Queso Holanda, ideal para picadas.",true
1095,1097,El Queso Criollo Caja x2 es perfecto para disfrutar junto al Queso Mozzarella.,true
1098,11,El Queso Danbo es ideal para acompañar al Queso Por Salut Light en una picada.,true
104,7,"El Queso Fontina es un excelente complemento para el Queso Por Salut, ideal para recetas.",true
1096,11,El Queso Holanda es perfecto para disfrutar con el Queso Por Salut Light.,true
1099,11,El Queso Pategras es ideal para acompañar al Queso Por Salut Light en una picada.,true
17,11,El Queso Reggianito es un excelente complemento para el Queso Por Salut Light.,true
180,9,El Queso Rallado es ideal para realzar el sabor del Queso Cremoso en tus platos.,true
67,9,El Queso Cremoso Remanso es perfecto para disfrutar con el Queso Cremoso Caja.,true
