codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
CIP-0160,AYUDIN BAÑOS DP 450CC,"Desinfectante AYUDIN BAÑOS DP 450CC, marca Ayudin, 450 cc, línea Ciprés Limpieza, Villa Constitución.","Limpiador de baño Ayudin, presentación de 450 cc.",limpiador|detergente baño|limpiador de inodoro,ACTUALIZAR
CIP-0161,AYUDIN CANASTA SOLIDA X 16GR,"Aromatizante AYUDIN CANASTA SOLIDA X 16GR, marca Ayudin, 16 g.","Aromatizante en canasta sólida de 16 g, marca Ayudin.",perfume de ambiente|aromatizante,ACTUALIZAR
CIP-0162,AYUDIN DESINFEC. AEROSOL - BEBE,"Aromatizante de ambientes AYUDIN DESINFEC. AEROSOL - BEBE, marca Ayudin.","Desinfectante en aerosol para superficies, marca Ayudín, presentación de 332 mL.",desinfectante|aerosol desinfectante|spray desinfectante,ACTUALIZAR
CIP-0163,AYUDIN DESINFEC. AEROSOL - FREC. MATINAL,"Aromatizante de ambientes AYUDIN DESINFEC. AEROSOL - FREC. MATINAL, marca Ayudin.","Aerosol desinfectante con fragancia matinal, marca Ayudin, 332 ml.",desinfectante|aerosol desinfectante|spray desinfectante,ACTUALIZAR
CIP-0167,AYUDIN ROPA COLOR X 400CC,"Desinfectante AYUDIN ROPA COLOR X 400CC, marca Ayudin, 400 cc.","Quitamanchas líquido para ropa de colores, marca Ayudín, presentación 400 cc.",quitamanchas|quitamanchas para ropa|líquido para manchas,ACTUALIZAR
CIP-0168,AYUDIN ROPA COLOR X 650CC,"Desinfectante AYUDIN ROPA COLOR X 650CC, marca Ayudin, 650 cc.","Quitamanchas para ropa colores vivos, marca Ayudín, presentación de 650 cc.",desmanchador|quitamanchas|blanqueador,ACTUALIZAR
CIP-0169,AYUDIN TOALLITA DESINFEC. REP X 24 - FRESCO,"Desinfectante AYUDIN TOALLITA DESINFEC. REP X 24 - FRESCO, marca Ayudin.","Toallitas húmedas desinfectantes aroma fresco, marca Ayudin, presentación de 24 unidades.",toallitas|toallitas desinfectantes|toallitas húmedas,ACTUALIZAR
CIP-0170,AYUDIN TOALLITA DESINFEC. REP X 24 - LIMON,"Desinfectante AYUDIN TOALLITA DESINFEC. REP X 24 - LIMON, marca Ayudin.","Toallitas húmedas desinfectantes con aroma a limón, marca Ayudín, presentación x24.",toallitas|toallitas desinfectantes|toallitas húmedas,ACTUALIZAR
CIP-0171,BARRA IONIZADOR VULCANO,"Producto para pileta BARRA IONIZADOR VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución.","Barra ionizadora de cobre para purificación de agua, marca Vulcano, 80mm.",barra de cobre|ionizador|electrolito,ACTUALIZAR
CIP-0172,BLOQUE PARA MOCHILAS X 1 URBAN FRESH,"Aromatizante BLOQUE PARA MOCHILAS X 1 URBAN FRESH, marca Urban Fresh.","Bloque para mochila con fragancia marina, marca Urban Fresh, 100 gramos.",pastilla de aroma|bloque aromatizante|pastilla para mochila,ACTUALIZAR
CIP-0173,BLOQUE PARA MOCHILAS X 2 URBAN FRESH,"Aromatizante BLOQUE PARA MOCHILAS X 2 URBAN FRESH, marca Urban Fresh.","Bloque para mochila con fragancia marina, marca Urban Fresh, x2 unidades.",bloque de baño|pastilla de inodoro|aromatizante de baño,ACTUALIZAR
CIP-0174,BOMBA PISCINA VULCANO BAE 033 - 033HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 033 - 033HP, marca Vulcano.",Bomba para pileta monofásica Vulcano BAE 033 con caudal de 12m³/h.,bomba de pileta|bomba de agua|bomba sumergible,ACTUALIZAR
CIP-0175,BOMBA PISCINA VULCANO BAE 050 - 0.50 HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 050 - 0.50 HP, marca Vulcano.","Bomba centrífuga para piscina Vulcano BAE 050, 0.5 hp monofásica.",bomba de pileta|bomba de piscina|bomba centrífuga,ACTUALIZAR
CIP-0176,BOMBA PISCINA VULCANO BAE 075 - 0.75HP,"Producto para pileta BOMBA PISCINA VULCANO BAE 075 - 0.75HP, marca Vulcano.",Bomba para piscina monofásica 0.75 HP marca Vulcano.,bomba de pileta|bomba de piscina|bomba de agua,ACTUALIZAR
CIP-0177,BOMBA PISCINA VULCANO BAF 033 CON CARTUCHO,"Producto para pileta BOMBA PISCINA VULCANO BAF 033 CON CARTUCHO, marca Vulcano.",Bomba autocebante para pileta Vulcano BAF 033 con cartucho filtrante.,bomba de pileta|bomba de piscina,ACTUALIZAR
CIP-0178,BOYA DOSIFICADORA-REFORZADA VULCANO,"Producto para pileta BOYA DOSIFICADORA-REFORZADA VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución.","Boya dosificadora de cloro reforzada regulable, marca Vulcano, tamaño grande.",dosificador de cloro|boya de cloro,ACTUALIZAR
CIP-0179,BOYA GRANDE CIPCLOR,"Desinfectante BOYA GRANDE CIPCLOR, marca Cipclor, línea Ciprés Limpieza, Villa Constitución.","Cloro líquido concentrado para limpieza y desinfección, marca Cipclor, formato 5 L.",lavandina|cloro,ACTUALIZAR
CIP-0183,CANASTA LIQUIDA URBAN FRESH - FLORAL,"Aromatizante CANASTA LIQUIDA URBAN FRESH - FLORAL, marca Urban Fresh.","Aromatizante líquido con fragancia floral, marca Urban Fresh, presentación de 50 ml.",perfume de ambiente|ambientador|aroma|fragancia,ACTUALIZAR
CIP-0184,CANASTA LIQUIDA URBAN FRESH - LAVANDA,"Aromatizante CANASTA LIQUIDA URBAN FRESH - LAVANDA, marca Urban Fresh.","Aromatizante líquido para inodoro, marca Urban Fresh, aroma lavanda, 50 ml.",perfume de ambiente|aromatizante|ambientador,ACTUALIZAR
CIP-0185,CANASTA LIQUIDA URBAN FRESH - LIMON,"Aromatizante CANASTA LIQUIDA URBAN FRESH - LIMON, marca Urban Fresh.","Aromatizante líquido para inodoros con fragancia a limón, marca Urban Fresh, 50 ml.",perfume de ambiente|aromatizante|ambientador,ACTUALIZAR
CIP-0186,CANASTA SOLIDA 5 EN 1 URBAN FRESH - FLORAL,"Aromatizante CANASTA SOLIDA 5 EN 1 URBAN FRESH - FLORAL, marca Urban Fresh.","Aromatizante sólido para inodoro, fragancia floral, marca Urban Fresh, formato canasta 5 en 1.",aromatizante|perfume de ambiente|desodorante de inodoro,ACTUALIZAR
CIP-0187,CANASTA SOLIDA 5 EN 1 URBAN FRESH - LAVANDA,"Aromatizante CANASTA SOLIDA 5 EN 1 URBAN FRESH - LAVANDA, marca Urban Fresh.","Aromatizante sólido para inodoro 5 en 1, marca Urban Fresh, fragancia lavanda.",aromatizante|perfume de inodoro|pastilla para inodoro,ACTUALIZAR
CIP-0188,CANASTA SOLIDA 5 EN 1 URBAN FRESH - LIMON,"Aromatizante CANASTA SOLIDA 5 EN 1 URBAN FRESH - LIMON, marca Urban Fresh.","Aromatizante sólido para inodoro con fragancia a limón, marca Urban Fresh.",perfume de ambiente|aromatizante|ambientador,ACTUALIZAR
CIP-0189,CANASTO BAE 5LT VULCANO,"Producto para pileta CANASTO BAE 5LT VULCANO, marca Vulcano, 5 L.","Canasto de repuesto para bombas BAE autocebantes, 5 litros, marca Vulcano.",canasto|recipiente|cesto,ACTUALIZAR
CIP-0210,CIF ACTIVE GEL 300CC - CITRICA,"Limpiador CIF ACTIVE GEL 300CC - CITRICA, marca CIF, 300 cc.","Detergente lavavajillas concentrado Cif Active Gel sabor cítrico, 300 cc.",lavavajillas|detergente|jabón de platos,ACTUALIZAR
CIP-0211,CIF ACTIVE GEL 300CC - FRUT CITRI,"Limpiador CIF ACTIVE GEL 300CC - FRUT CITRI, marca CIF, 300 cc.","Detergente en gel con fragancia a frutas cítricas, marca CIF, 300 cc.",detergente|gel limpiador|limpiador|jabón líquido,ACTUALIZAR
CIP-0212,CIF ACTIVE GEL 300CC - LIMA,"Limpiador CIF ACTIVE GEL 300CC - LIMA, marca CIF, 300 cc.","Detergente líquido Cif Active Gel sabor lima, presentación 300 ml.",lavavajillas|detergente|limpiador,ACTUALIZAR
CIP-0213,CIF ACTIVE GEL 300CC - LIMON,"Limpiador CIF ACTIVE GEL 300CC - LIMON, marca CIF, 300 cc.","Detergente en gel con aroma a limón, marca Cif, presentación 300 cc.",detergente|limpiador|gel de limpieza,ACTUALIZAR
CIP-0214,CIF ACTIVE GEL 300CC - LIMON VERDE,"Limpiador CIF ACTIVE GEL 300CC - LIMON VERDE, marca CIF, 300 cc.","Detergente en gel con aroma a limón, marca Cif, presentación 300 cc.",detergente|lavarropas|limpiador,ACTUALIZAR
CIP-0215,CIF ANTIGRASA DP 450CC,"Limpiador CIF ANTIGRASA DP 450CC, marca CIF, 450 cc, línea Ciprés Limpieza, Villa Constitución.","Limpiador líquido antigrasa, marca Cif, presentación de 450 cc.",limpiador|detergente|antigrasa,ACTUALIZAR
CIP-0216,CIF BAÑOS EXPERT D.P. 450CC,"Limpiador CIF BAÑOS EXPERT D.P. 450CC, marca CIF, 450 cc.","Limpiador para baño CIF EXPERT, presentación de 450 cc.",limpiador de baño|limpiador para inodoro|detergente de baño,ACTUALIZAR
CIP-0233,CIF PAÑO BALLERINA X 3,"Limpiador CIF PAÑO BALLERINA X 3, marca CIF, línea Ciprés Limpieza, Villa Constitución.","Paño de limpieza absorbente antibacterial Ballerina, marca CIF, pack de 3 unidades.",trapo|paño|rejilla,ACTUALIZAR
CIP-0234,CIF PISOS OXY-GEL 750CC,"Limpiador CIF PISOS OXY-GEL 750CC, marca CIF, 750 cc, línea Ciprés Limpieza, Villa Constitución.","Limpiador para pisos en gel, marca Cif, presentación 750 cc.",limpiador de pisos|detergente de pisos|limpiador|gel limpiador,ACTUALIZAR
CIP-0235,CIF PISOS OXY-GEL X 2LT,"Limpiador CIF PISOS OXY-GEL X 2LT, marca CIF, 2 L.","Limpiador de pisos en gel, marca Cif, presentación 2 L.",limpiador de pisos|detergente de pisos|gel para pisos,ACTUALIZAR
CIP-0239,CLIP VULCANO,"Producto para pileta CLIP VULCANO, marca Vulcano, línea Ciprés Limpieza, Villa Constitución.","Clip para manguito de limpieza, marca Vulcano, presentación de 50 unidades.",clip|sujeción|abrazadera,ACTUALIZAR
CIP-0240,CONITOS CASCADA AROMANZA X 10 - ENERGIA LI,"Sahumerio CONITOS CASCADA AROMANZA X 10 - ENERGIA LI, marca Aromanza.","Conos aromatizantes de ambiente, marca Aromanza, aroma energía limpia, x10 unidades.",conitos|cono|aromatizante|perfume de ambiente,ACTUALIZAR
CIP-0241,CONITOS CASCADA AROMANZA X 10 - FRUTOS ROJOS,"Sahumerio CONITOS CASCADA AROMANZA X 10 - FRUTOS ROJOS, marca Aromanza.","Conos de incienso con aroma frutos rojos, marca Aromanza, caja con 10 unidades.",conos de incienso|incienso|cono de aroma,ACTUALIZAR
CIP-0242,CONITOS CASCADA AROMANZA X 10 - LAVANDAS DEL VALLE,"Sahumerio CONITOS CASCADA AROMANZA X 10 - LAVANDAS DEL VALLE, marca Aromanza.","Conos de sahumerio aroma lavanda del valle, marca Aromanza, x10 unidades.",sahumerios|conitos|aroma|incienso,ACTUALIZAR
CIP-0245,CUCHARA DOSIFICADORA 20GR VULCANO,"Producto para pileta CUCHARA DOSIFICADORA 20GR VULCANO, marca Vulcano, 20 g.","Cuchara dosificadora de 20 g para cloro en polvo, marca Vulcano.",cucharita|dosificador|cucharón,ACTUALIZAR
CIP-0246,DESOD. ROLLON ALGABO X 60 - FRESH & BEAUTY,"Desodorante DESOD. ROLLON ALGABO X 60 - FRESH & BEAUTY, marca Algabo.","Desodorante roll on sin alcohol, marca Algabo, presentación de 60 ml.",desodorante|roll on|antitranspirante,ACTUALIZAR
CIP-0247,DESOD. ROLLON ALGABO X 60 - MEN,"Desodorante DESOD. ROLLON ALGABO X 60 - MEN, marca Algabo.","Desodorante roll on sin alcohol para hombres, marca Algabo, 60 mL.",desodorante|roll on|antitranspirante,ACTUALIZAR
CIP-0254,DIFUSOR PARA AUTOS AROMANZA - AUTO SPORT,"Difusor de ambiente DIFUSOR PARA AUTOS AROMANZA - AUTO SPORT, marca Aromanza.","Difusor de aromas para auto, marca Aromanza, formato colgante.",aromatizante|perfume de auto|difusor de aromas,ACTUALIZAR
CIP-0255,DIFUSOR PARA AUTOS AROMANZA - CITRIC LEMON,"Difusor de ambiente DIFUSOR PARA AUTOS AROMANZA - CITRIC LEMON, marca Aromanza.","Difusor de aromas para auto, fragancia citric lemon, marca Aromanza, 10 mL.",difusor|aromizador|perfume de auto,ACTUALIZAR
