product_code,nombre,descripcion
144,PUNA HELIOS BLEND 6X750,"Vino, marca Puna, caja x6 botellas de 750 ml presentación en pack."
2513,"BAGGIO FRESH LIMONE 6X1,5","Jugo, marca Baggio, caja x6 botellas de 1,5 L presentación en pack."
2515,"BAGGIO FRESH CERO NARANJA 6X1,5","Jugo naranja, marca Baggio, caja x6 botellas de 1,5 L."
2516,"BAGGIO FRESH CERO POMELO 6X1,5","Jugo pomelo, marca Baggio, caja x6 botellas de 1,5 L."
2517,"BAGGIO FRESH CERO MANZANA 6X1,5","Jugo manzana, marca Baggio, caja x6 botellas de 1,5 L."
2518,"SIERRA DE LOS PADRES 6X1,5 MANZANA","Agua mineral manzana, marca Sierra de los Padres, caja x6 botellas de 1,5 L."
2519,"SIERRA DE LOS PADRES 6X1,5 NARANJA","Agua mineral naranja, marca Sierra de los Padres, caja x6 botellas de 1,5 L."
2520,"SIERRA DE LOS PADRES 6X1,5 POMELO","Agua mineral pomelo, marca Sierra de los Padres, caja x6 botellas de 1,5 L."
3000,"COCA COLA 6X1,5","Gaseosa cola, marca Coca-Cola, caja x6 botellas de 1,5 L."
3003,COCA COLA 12X375,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 375 ml."
3005,COCA COLA 12X600,"Gaseosa cola, marca Coca-Cola, caja x12 botellas de 600 ml."
3008,"FANTA 6X1,5","Gaseosa, marca Fanta, caja x6 botellas de 1,5 L presentación en pack."
3012,MARINARO COLA 12X500,"Gaseosa cola, marca Marinaro, caja x12 botellas de 500 ml."
3013,"MARINARO COLA 6 X 2,25","Gaseosa cola, marca Marinaro, caja x6 botellas de 2,25 L."
3014,MARINARO COLA 4X3 PREMIUM,"Gaseosa cola, marca Marinaro, caja x4 botellas de 3 L."
3015,"MARINARO GRANADINA 6X2,25","Gaseosa granadina, marca Marinaro, caja x6 botellas de 2,25 L."
3016,MARINARO GRANADINA 12 X 500,"Gaseosa granadina, marca Marinaro, caja x12 botellas de 500 ml."
3017,MARINARO GRANADINA 4X3,"Gaseosa granadina, marca Marinaro, caja x4 botellas de 3 L."
3018,"MARINARO LIMA LIMON 6 X 2,25","Gaseosa lima limón, marca Marinaro, caja x6 botellas de 2,25 L."
3019,MARINARO LIMA LIMON 12 X 500,"Gaseosa lima limón, marca Marinaro, caja x12 botellas de 500 ml."
3020,"MARINARO LIMONADA 6 X 2,25","Gaseosa limonada, marca Marinaro, caja x6 botellas de 2,25 L."
3021,MARINARO LIMONADA 12 X 500,"Gaseosa limonada, marca Marinaro, caja x12 botellas de 500 ml."
3022,MARINARO LIMONADA 4X3 PREMIUM,"Gaseosa limonada, marca Marinaro, caja x4 botellas de 3 L."
3023,"MARINARO MANZANA  6 X 2,25","Gaseosa manzana, marca Marinaro, caja x6 botellas de 2,25 L."
3024,MARINARO MANZANA 12 X 500,"Gaseosa manzana, marca Marinaro, caja x12 botellas de 500 ml."
3025,MARINARO MANZANA 4X3 PREMIUM,"Gaseosa manzana, marca Marinaro, caja x4 botellas de 3 L."
3026,"MARINARO NARANJA 6 X 2,25","Gaseosa naranja, marca Marinaro, caja x6 botellas de 2,25 L."
3027,MARINARO NARANJA 12 X 500,"Gaseosa naranja, marca Marinaro, caja x12 botellas de 500 ml."
