codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
89010031,Mamey Chunks frozen 5lb,"¡Descubre el irresistible sabor del Mamey Chunks Frozen de 5 lb! Este delicioso y exótico fruto tropical es perfecto para smoothies, postres o como un snack refrescante. Presentado en un formato conveniente de 5 lb, cada bolsa ofrece una calidad premium que tus clientes adorarán. Su alta demanda y atractivo visual garantizan una rápida rotación en tu mostrador, impulsando compras por impulso y asegurando un excelente margen de ganancia. ¡No dejes pasar la oportunidad de deleitar a tus consumidores!","Trozos de mamey congelados, presentados en bolsa de 5 lb, ideales para la preparación de jugos, postres o batidos. Producto IQF, conserva el sabor y nutrientes de la fruta fresca.",mamey|zapote,ACTUALIZAR
860009204621,DRAGON FRUIT DICED EXOTIC FOODSERVICE,"Descubre la frescura y el exótico sabor del Dragon Fruit Diced de Exotic Foodservice. Presentado en un práctico formato de 12 displays con 48 unidades cada uno, este producto es perfecto para atraer a los amantes de lo auténtico y saludable. Su atractivo visual y su delicioso sabor hacen que sea un imperdible para el mostrador, impulsando la compra por impulso. Además, su alto margen de rentabilidad atraerá a un público diverso, garantizando una rotación constante en tu negocio. ¡No te quedes sin él!","Fruta congelada de dragon fruit (pitaya) en cubos, presentada en empaque de 1 lb, ideal para la preparación de salsas, postres y bebidas. Producto de Exotic Foodservice, con características exóticas y versatilidad en la cocina.",pitaya|fruta del dragón,ACTUALIZAR
89090124,Pepper 3 Color Diced 10 x 10 - 20lb,"¡Descubre el sabor vibrante de los pimientos con el Pepper 3 Color Diced! Este atractivo mix de pimientos picados en formato 10 x 10 es ideal para realzar tus platillos y cautivar a tus clientes. Presentado en una conveniente bolsa de 20 lb, facilita su uso en restaurantes y cafeterías. Su versatilidad atrae a un amplio público, convirtiéndolo en una compra por impulso perfecta. Aumenta tu rentabilidad y rotación en el mostrador, ofreciendo calidad y frescura en cada bocado.","Pimiento 3 colores en cubos, mezcla de pimientos rojos, verdes y amarillos, congelados, presentados en empaque de 20 lb, ideal para uso en restaurantes y servicios de catering.",pimiento|morrones|pimientos|pimiento en cubos,ACTUALIZAR
74987455846,ONION SLICE 4/5 MM,"Descubre la revolución del sabor con nuestras ONION SLICE de 4/5 mm, perfectas para realzar cualquier platillo. Presentadas en un práctico formato de 12 displays con 48 unidades cada uno, son ideales para maximizar el espacio en tu negocio. Su frescura y versatilidad las convierten en el complemento perfecto para hamburguesas, ensaladas y más. Al ser un producto de alta rotación, capturarás compras por impulso, asegurando márgenes atractivos. ¡No dejes pasar la oportunidad de ofrecer lo mejor a tus clientes!","Cebolla congelada en tiras (slices) de 4/5 mm, presentación bulk IQF, ideal para fajitas, salteados y preparaciones industriales.",cebolla|cebolla en tiras|onion slice|cebolla rebanada,ACTUALIZAR
1841100055,ACAI SAMBAZON smoothie Blend Organic 3G Tub,"¡Descubre el delicioso sabor de ACAI SAMBAZON Smoothie Blend Organic! Este tub de 3G está repleto de antioxidantes y energía natural, perfecto para quienes buscan un estilo de vida saludable. Viene en un formato práctico y fácil de usar, ideal para ofrecer smoothies frescos y vibrantes en tu kiosco. Con su creciente popularidad, este producto no solo atraerá a los amantes del acai, sino que también impulsará tus ventas por impulso, garantizando un excelente margen de ganancia. ¡No dejes pasar esta oportunidad!","Smoothie de acai orgánico en tub de 3 kg, elaborado con pulpa de acai de Brasil, sin azúcares añadidos, ideal para batidos y postres. Producto certificado Fair Trade.",smoothie de acai|batido de acai|pulpa de acai,ACTUALIZAR
736952201782,Mamey Chunk frozen 3lb BENFRESH-Box 24 lb (8x3lb),"¡Descubre el sabor tropical del Mamey Chunk de BENFRESH! Este delicioso producto congelado es ideal para preparar batidos, postres y recetas creativas. Presentado en una caja de 24 lb, que incluye 8 bolsas de 3 lb, es perfecto para mantener tu inventario optimizado. Su atractivo sabor y versatilidad lo convierten en una opción irresistible para tus clientes, impulsando la compra por impulso. Además, su margen de ganancia atractivo asegura que tu negocio destaque en el mostrador. ¡No dejes pasar esta oportunidad!","Fruta congelada tipo mamey en trozos, presentada en caja de 24 lb (8x3lb), marca Benfresh, sin azúcares añadidos, ideal para smoothies y snacks, rica en vitaminas y antioxidantes.",mamey,ACTUALIZAR
89010007,RePacking Service,"¡Descubre el RePacking Service, la solución perfecta para optimizar tu inventario! Este servicio innovador te ofrece 12 displays de 48 unidades, asegurando que siempre tengas a la mano productos frescos y atractivos para tus clientes. Con un enfoque en la compra por impulso, este servicio te permite maximizar tu margen de ganancia y atraer a un público diverso, desde jóvenes hasta familias. No dejes pasar la oportunidad de aumentar la rotación en tu negocio con este servicio esencial. ¡Aprovecha y transforma tu kiosco hoy!","Servicio de reempaquetado (repacking) de productos congelados Benfresh. Ítem de servicio/logística, no es un producto alimenticio.",repacking|reempaquetado|servicio de empaque,ACTUALIZAR
89090129,Red & Green Pepper slice 20lb (1x20lb),"Descubre el atractivo de los Red & Green Pepper Slice, una explosión de sabor y color que no puede faltar en tu oferta. Este formato de 20 libras (1x20lb) es ideal para mantener siempre frescos y listos para servir. Perfectos para ensaladas, sándwiches y platillos, estos pimientos atraerán a tus clientes en busca de opciones saludables. Con un excelente margen de ganancia y alta rotación por su naturaleza de compra impulsiva, ¡asegúrate de tenerlos en tu mostrador y maximiza tus ventas!","Pimiento rojo y verde congelado en rodajas, presentado en empaque de 20 lb, con proceso IQF para mantener frescura y textura. Ideal para uso en comidas y preparaciones culinarias.",pimiento|morrón|pimiento rojo|pimiento verde,ACTUALIZAR
89090132,"Carrot Diced 10x10 frozen IQF Bag 22,50 lb (1x22,50lb)","Descubre la frescura y versatilidad de las zanahorias en cubos Carrot Diced, perfectas para potenciar cualquier platillo. Cada bolsa IQF de 22,50 lb contiene zanahorias de la mejor calidad, listas para usar y ahorrar tiempo en la cocina. Ideal para restaurantes y tiendas, este formato garantiza una rotación rápida y un margen atractivo. Al tenerlo en tu mostrador, atraerás a un público que busca conveniencia, haciendo de cada compra una decisión fácil y deliciosa. ¡No te quedes sin ellas!","Zanahoria congelada IQF en cubos de 10x10 mm, presentada en bolsa de 22,50 lb, ideal para uso en cocina profesional y comercial, manteniendo frescura y nutrientes.",zanahoria|zanahorias|carrot,ACTUALIZAR
736952201829,POTATO DICED frozen 22.04 lb,"Descubre el irresistible sabor de nuestras POTATO DICED congeladas, perfectas para cualquier platillo. Con un formato de 22.04 lb, cada bolsa ofrece porciones ideales para satisfacer a tus clientes. Su versatilidad las convierte en un must-have para tu almacén, ya que son perfectas para frituras, guisos o acompañamientos. Su alta demanda asegura una rotación rápida y atractivos márgenes de ganancia. ¡Aprovecha la oportunidad de incrementar tus ventas con este básico que no puede faltar en tu mostrador!","Verdura congelada tipo papa cortada en cubos de 3/8 pulgadas, presentada en bolsa de 22.04 lb, ideal para uso en recetas y preparación rápida. Producto IQF (Individual Quick Frozen) que mantiene la frescura y textura.",papa|batata,ACTUALIZAR
89090107,Passion Fruit with seeds. Maracuya 11lb,"Descubre el irresistible sabor de nuestra Maracuyá con semillas, ¡un auténtico deleite tropical! Presentada en un formato de 11 lb, es ideal para ofrecer frescura y calidad en tu tienda. Este producto es perfecto para batidos, postres o como snack saludable, garantizando una compra por impulso entre tus clientes. Con un margen atractivo y alta rotación, tendrás la oportunidad de aumentar tus ventas y satisfacer a un público que busca lo natural y refrescante. ¡Incorpora la Maracuyá en tu mostrador hoy mismo!","Pulpa de maracuyá con semillas, presentada en un empaque de 11 lb, ideal para la elaboración de jugos y cócteles. Producto natural, sin aditivos, que conserva el sabor y aroma característicos de la fruta tropical.",maracuyá|fruta de la pasión|passion fruit,ACTUALIZAR
