client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Limpieza de Alfombras, paso a revisar tu pedido P-00099 de CLIP VULCANO.","Hola Limpieza de Alfombras, paso a revisar tu pedido P-00099 de CLIP VULCANO.",2026-08-16 09:57:59,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-16 09:59:28,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 36483.00.,Te confirmo que el pedido P-00099 fue registrado correctamente por 36483.00.,2026-08-16 10:00:24,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-16 10:01:33,true
5492612928724,5492612928724,ai,ai,"Hola Limpieza de Eventos, paso a revisar tu pedido P-00123 de LIMPIA METALES BRASSO.","Hola Limpieza de Eventos, paso a revisar tu pedido P-00123 de LIMPIA METALES BRASSO.",2026-08-17 11:57:59,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-17 11:58:44,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 26296.00.,Te confirmo que el pedido P-00123 fue registrado correctamente por 26296.00.,2026-08-17 11:59:17,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-17 12:00:50,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-17 12:01:46,true
5492614053074,5492614053074,ai,ai,"Hola Insumos y Más, vi que tenes un pedido abierto por BALDE HERALDPLAST X 10 LTS TRASLUCIDO / GARDENLIFE y queria ayudarte a cerrarlo.","Hola Insumos y Más, vi que tenes un pedido abierto por BALDE HERALDPLAST X 10 LTS TRASLUCIDO / GARDENLIFE y queria ayudarte a cerrarlo.",2026-08-17 08:57:59,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-17 08:59:37,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00156 sigue en curso por un total de 16300.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00156 sigue en curso por un total de 16300.00. Si queres te lo dejo cerrado hoy.,2026-08-17 09:00:13,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-17 09:01:31,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-17 09:02:48,true
5492615021286,5492615021286,ai,ai,"Hola Limpieza de Equipos, paso a revisar tu pedido P-00112 de DIFUSOR SAPHIRUS 120CC - NARANJA CH.","Hola Limpieza de Equipos, paso a revisar tu pedido P-00112 de DIFUSOR SAPHIRUS 120CC - NARANJA CH.",2026-08-15 09:57:59,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-15 09:59:48,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00112 fue registrado correctamente por 26400.00.,Te confirmo que el pedido P-00112 fue registrado correctamente por 26400.00.,2026-08-15 10:00:36,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-15 10:01:19,true
5492615139305,5492615139305,ai,ai,"Hola Limpieza y Desinfección, paso a revisar tu pedido P-00076 de DETERGENTE MAGISTRAL 300CC - LIMON.","Hola Limpieza y Desinfección, paso a revisar tu pedido P-00076 de DETERGENTE MAGISTRAL 300CC - LIMON.",2026-08-15 11:57:59,true
5492615139305,5492615139305,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-15 11:59:06,true
5492615139305,5492615139305,ai,ai,Te confirmo que el pedido P-00076 fue registrado correctamente por 32800.00.,Te confirmo que el pedido P-00076 fue registrado correctamente por 32800.00.,2026-08-15 12:00:23,true
5492615139305,5492615139305,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-15 12:01:06,true
5492617175545,5492617175545,ai,ai,"Hola Productos del Hogar, paso a revisar tu pedido P-00027 de ESPONJA ACERO INOXIDABLE 30 GR SAMANTHA.","Hola Productos del Hogar, paso a revisar tu pedido P-00027 de ESPONJA ACERO INOXIDABLE 30 GR SAMANTHA.",2026-08-16 08:57:59,true
5492617175545,5492617175545,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-16 08:59:28,true
5492617175545,5492617175545,ai,ai,Te confirmo que el pedido P-00027 fue registrado correctamente por 348.00.,Te confirmo que el pedido P-00027 fue registrado correctamente por 348.00.,2026-08-16 09:00:17,true
5492617175545,5492617175545,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-16 09:01:36,true
5492617236955,5492617236955,ai,ai,"Hola Limpieza de Espacios Privados, paso a revisar tu pedido P-00126 de DISPENSER TOALLA INTERC. DELUXE.","Hola Limpieza de Espacios Privados, paso a revisar tu pedido P-00126 de DISPENSER TOALLA INTERC. DELUXE.",2026-08-17 10:57:59,true
5492617236955,5492617236955,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-17 10:58:50,true
5492617236955,5492617236955,ai,ai,Te confirmo que el pedido P-00126 fue registrado correctamente por 562090.00.,Te confirmo que el pedido P-00126 fue registrado correctamente por 562090.00.,2026-08-17 10:59:37,true
5492617236955,5492617236955,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-17 11:00:26,true
5492617236955,5492617236955,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-17 11:01:16,true
5492617413812,5492617413812,ai,ai,"Hola Limpieza de Espacios Públicos, paso a revisar tu pedido P-00129 de SUAVIZANTE DOWNY BOTELLA 450/500CC - ADORAVEL.","Hola Limpieza de Espacios Públicos, paso a revisar tu pedido P-00129 de SUAVIZANTE DOWNY BOTELLA 450/500CC - ADORAVEL.",2026-08-17 09:57:59,true
5492617413812,5492617413812,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-17 09:59:49,true
5492617413812,5492617413812,ai,ai,Te confirmo que el pedido P-00129 fue registrado correctamente por 46330.00.,Te confirmo que el pedido P-00129 fue registrado correctamente por 46330.00.,2026-08-17 10:01:06,true
5492617413812,5492617413812,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-17 10:02:01,true
5492617413812,5492617413812,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-17 10:03:13,true
5492618861463,5492618861463,ai,ai,"Hola Insumos para la Limpieza, paso a revisar tu pedido P-00079 de HOME SPRAY 500CC - FLOR DE LO.","Hola Insumos para la Limpieza, paso a revisar tu pedido P-00079 de HOME SPRAY 500CC - FLOR DE LO.",2026-08-16 10:57:59,true
5492618861463,5492618861463,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-16 10:59:25,true
5492618861463,5492618861463,ai,ai,Te confirmo que el pedido P-00079 fue registrado correctamente por 71860.00.,Te confirmo que el pedido P-00079 fue registrado correctamente por 71860.00.,2026-08-16 10:59:58,true
5492618861463,5492618861463,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-16 11:01:28,true
