codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
10381,Knorr Sabor Pollo LIM/OREG 21g + Bolsa,"Sopa o caldo Sabor Pollo LIM/OREG 21g +, marca KNORR, 21 g, rubro almacén.","Condimento para horno sabor pollo con limón y orégano, marca Knorr, 21 g.",sazonador|condimento|mezcla de especias,ACTUALIZAR
11381,Knorr Sabor Pollo CRIOLLO 21g + Bolsa,"Sopa o caldo Sabor Pollo CRIOLLO 21g +, marca KNORR, 21 g, rubro almacén.","Bolsa para horno tipo criollo con condimento sabor pollo, marca Knorr, 21 g.",bolsa criolla|bolsa para horno|sabor pollo knorr,ACTUALIZAR
12381,Knorr Sabor Carne ROM/TOM 21g + Bolsa,"Sopa o caldo Sabor Carne ROM/TOM 21g +, marca KNORR, 21 g, rubro almacén.","Saborizador para horno sabor carne con romero y tomillo, marca Knorr, 21g.",saborizador|sabor carne|bolsa para horno,ACTUALIZAR
13381,Knorr Sabor Carne HIE/ESP 21g + Bolsa,"Sopa o caldo Sabor Carne HIE/ESP 21g +, marca KNORR, 21 g, rubro almacén.","Saborizador para horno sabor carne, marca Knorr, presentación de 21 g en bolsa.",saborizador|saborizante|condimento|mezcla para horno,ACTUALIZAR
15381,Knorr Sabor Barbacoa 21g + Bolsa,"Sopa o caldo Sabor Barbacoa 21g + Bolsa, marca KNORR, 21 g, rubro almacén.","Condimento para horno sabor barbacoa, marca Knorr, presentación 21g.",saborizante|condimento|sazonador,ACTUALIZAR
16381,Knorr Sabor Pollo Oriental 21g + Bolsa,"Sopa o caldo Sabor Pollo Oriental 21g +, marca KNORR, 21 g, rubro almacén.","Saborizante para horno sabor pollo oriental, marca Knorr, 21 g.",saborizante|mezcla de especias|sabor pollo|saborizante knorr,ACTUALIZAR
381,Knorr Sabor Carne CEB/AJO 21g + Bolsa,"Sopa o caldo Sabor Carne CEB/AJO 21g +, marca KNORR, 21 g, rubro almacén.","Condimento para carne sabor ajo y cebolla, marca Knorr, presentación en bolsa de 21g.",sazonador|aderezo|mezcla para carne,ACTUALIZAR
10102,Ajo Picado Gourmet 200G GULLO,"Condimento Ajo Picado Gourmet 200G, marca GULLO, 200 g, rubro almacén.","Ajo picado en aceite, marca Gullo, frasco de 200 g.",ajo picado|ajo en aceite|ajo picado en aceite,ACTUALIZAR
1078,Grasa vacuna ESANI 1 Kg,"Insumo Grasa vacuna ESANI 1 Kg, 1 kg, rubro almacén.","Grasa vacuna comestible, marca Esani, presentación de 1 kg.",grasa|grasa vacuna|grasa comestible,ACTUALIZAR
10910,Adobo para pizzas 500g CENTURION,"Condimento Adobo para pizzas 500g, marca CENTURION, 500 g, rubro almacén.","Adobo para pizzas 500g, marca Centurion, categoría almacén y condimentos.",adobo|condimento|mezcla de especias,ACTUALIZAR
1178,Grasa de Cerdo ESANI 500g,"Insumo Grasa de Cerdo ESANI 500g, 500 g, rubro almacén.","Grasa de cerdo comestible, marca Esani, presentación 500 g.",grasa de cerdo|manteca de cerdo|grasa porcina,ACTUALIZAR
208,Grasa Marcrem 1 KG,"Insumo Grasa Marcrem 1 KG, 1 kg, rubro almacén, presentación insumos panadería.","Grasa comestible marca Marcrem, presentación de 1 kg.",grasa|grasa comestible|grasa marcrem,ACTUALIZAR
209,Grasa Marcrem 500 G,"Insumo Grasa Marcrem 500 G, 500 g, rubro almacén, presentación insumos panadería.",Grasa comestible Marcrem en sachet de 500 g.,grasa|grasa comestible|grasa marcrem,ACTUALIZAR
435,Especias Baharat 200G (9 Especies),"Condimento Especias Baharat 200G (9 Especies), 200 g, rubro almacén.","Especias Baharat mezcla de 9 especias, marca Zeenny, presentación 200g.",baharat|mezcla de especias|siete especias,ACTUALIZAR
439,Especias Tandoori Mix 200G (8 Especies),"Condimento Especias Tandoori Mix 200G (8, 200 g, rubro almacén.","Especias Tandoori Mix 200g, mezcla de 8 especias, marca no especificada.",mezcla de especias|especias tandoori|tandoori|especias para curry,ACTUALIZAR
440,Pasta de Ajo 200G Gullo,"Condimento Pasta de Ajo 200G, marca GULLO, 200 g, rubro almacén.","Pasta de ajo sin conservantes, marca Gullo, presentación de 200 g.",pasta de ajo|ajo en pasta|pasta de ajo sin conservantes,ACTUALIZAR
78,Grasa vacuna ESANI 500g,"Insumo Grasa vacuna ESANI 500g, 500 g, rubro almacén, presentación insumos panadería.","Grasa vacuna, marca Esani, presentación sachet de 500 g.",grasa|grasa vacuna|grasa esani,ACTUALIZAR
910,Adobo para pizzas 20g CENTURION,"Condimento Adobo para pizzas 20g, marca CENTURION, 20 g, rubro almacén.","Adobo para pizzas 20g, marca Centurion, categoría almacén y condimentos.",adobo|sazonador para pizzas,ACTUALIZAR
912,Canela Molida 25g CENTURION,"Condimento Canela Molida 25g, marca CENTURION, 25 g, rubro almacén.","Canela molida, marca Centurion, presentación en envase zipper de 25 gramos.",canela|canela molida,ACTUALIZAR
921,Tomillo 25g CENTURION,"Condimento Tomillo 25g, marca CENTURION, 25 g, rubro almacén, presentación especias y condimentos.","Tomillo seco en presentación de 25 gramos, marca Centurion.",especia|hierbas|tomillo seco,ACTUALIZAR
922,Ajo granulado 25g CENTURION,"Condimento Ajo granulado 25g, marca CENTURION, 25 g, rubro almacén.","Ajo granulado 25g, marca Centurion, categoría almacén y condimentos.",ajo en polvo|ajo granulado,ACTUALIZAR
923,Albahaca 25g CENTURION,"Condimento Albahaca 25g, marca CENTURION, 25 g, rubro almacén, presentación especias y condimentos.","Albahaca molida 25g, marca Centurion, categoría almacén y condimentos.",albahaca|especias|condimento,ACTUALIZAR
930,Coco Rallado 25g CENTURION,"Condimento Coco Rallado 25g, marca CENTURION, 25 g, rubro almacén.","Coco rallado, marca Centurion, presentación de 25 gramos.",coco|coco rallado,ACTUALIZAR
941,Anis en grano 25g Centurion,"Condimento Anis en grano 25g, marca CENTURION, 25 g, rubro almacén.","Anís en grano 25g, marca Centurion, categoría almacén y condimentos.",anis|anis en grano,ACTUALIZAR
942,Laurel 10g Centurion,"Condimento Laurel 10g, marca CENTURION, 10 g, rubro almacén, presentación especias y condimentos.","Laurel seco en hojas, marca Centurion, presentación de 10 g.",laurel|hojas de laurel,ACTUALIZAR
10113,Paleta Especial Fox Oval,"Fiambre Paleta Especial Oval, marca FOX, rubro fiambres, presentación fiambres y embutidos.","Paleta de cerdo especial ovalada, fiambre, marca Fox.",Paleta Especial Fox Oval|Fox paleta oval|paleta fox|paleta cerdo fox|10113,ACTUALIZAR
103,PALETA AZUL GOGGI KG,"Fiambre PALETA AZUL KG, marca GOGGI, rubro fiambres, presentación fiambres y embutidos.","Fiambre tipo paleta sanguchera marca Goggi, peso aproximado 4 kg.",paleta|fiambre|paleta sanguchera,ACTUALIZAR
10302,Torta Veneziana c/Chips 400G,"Panificado Torta c/Chips 400G, marca VENEZIANA, 400 g, rubro panificados.","Torta veneziana con chips de chocolate, 400 g.",torta|torta dulce|torta de chocolate,ACTUALIZAR
104,"Mortadela Paladini 2,5 KG","Fiambre Mortadela 2,5 KG, marca PALADINI, 2.5 kg, rubro fiambres.","Mortadela, marca Paladini, presentación de 2,5 kg, embutido de cerdo para fiambrería.",morta|mortadela|mortadela paladini,ACTUALIZAR
10484,Jade al Pesto HORMA,"Salsa Jade al Pesto HORMA, rubro aderezos, presentación salsas, Código 10484, catálogo MORENO.","Queso de cabra al pesto, marca Jade, presentado en horma.",queso cabra|queso al pesto,ACTUALIZAR
105,"Mortadela Paladini 4,5 KG","Fiambre Mortadela 4,5 KG, marca PALADINI, 4.5 kg, rubro fiambres.","Mortadela, marca Paladini, presentación de 4,5 kg, embutido de cerdo para fiambrería.",fiambre|mortadela|mortadela paladini,ACTUALIZAR
10659,Pickle Mixto VANOLI Frasco 330g,"Producto alimenticio Pickle Mixto Frasco 330g, marca VANOLI, 330 g, rubro alimentos.","Pickles mixtos en vinagre, marca Vanoli, frasco de 330 g.",pickles|mezcla de pickles|vegetales en vinagre,ACTUALIZAR
10660,Pepinillos VANOLI Frasco 330 G,"Producto alimenticio Pepinillos Frasco 330 G, marca VANOLI, 330 g, rubro alimentos.","Pepinillos en vinagre agridulces, marca Vanoli, frasco de 330 g.",pepinillos|pickles,ACTUALIZAR
10669,Chimichurri Clasico VANOLI PET 350cc,"Aderezo Chimichurri Clasico PET 350cc, marca VANOLI, 350 cc, rubro aderezos.","Chimichurri clásico, marca Vanoli, presentación en envase PET de 350 cc.",salsa chimichurri|chimichurri vanoli,ACTUALIZAR
10677,Chimichurri Ahumado VANOLI Pet 350cc,"Aderezo Chimichurri Ahumado Pet 350cc, marca VANOLI, 350 cc, rubro aderezos.",Chimichurri ahumado marca Vanoli en presentación PET de 350 cc.,chimichurri|salsa chimichurri|salsa para asado,ACTUALIZAR
1075,Lomo a las Finas Hierbas FOX,"Producto alimenticio Lomo a las Finas Hierbas, marca FOX, rubro alimentos.","Lomo a las finas hierbas, marca Fox, presentación en pieza de 1.7 kg.",lomo|lomo a las finas hierbas,ACTUALIZAR
111,Paleta Barrilito FOX KG,"Fiambre Paleta Barrilito KG, marca FOX, rubro fiambres, presentación fiambres y embutidos.","Paleta de cerdo tipo barrilito, fiambre, marca Fox, venta por kilogramo.",Paleta Barrilito Fox|Fox barrilito|paleta fox kg|paleta cerdo fox|111,ACTUALIZAR
11255,Tonadita CHEDDAR AMERICANO 140 Fetas,"Producto alimenticio CHEDDAR AMERICANO 140 Fetas, marca TONADITA, rubro alimentos.","Queso Cheddar Americano en fetas, marca Tonadita, presentado en 1.6 kg.",queso cheddar|queso tonadita|cheddar americano,ACTUALIZAR
11270,Patagonia Tonadita 3 KG,"Producto alimenticio Patagonia 3 KG, marca TONADITA, 3 kg, rubro alimentos.","Queso crema marca Tonadita, presentación de 3 kg.",queso crema|crema|queso tonadita,ACTUALIZAR
11295,Tortilla Espinaca CORMILLOT 165 G,"Panificado Tortilla Espinaca 165 G, marca CORMILLOT, 165 g, rubro panificados.","Tortilla de espinaca, marca Cormillot, presentación de 165 g.",tortilla|tortilla integral|tortilla de espinaca,ACTUALIZAR
113,Paleta Especial Fox Cuadrada,"Fiambre Paleta Especial Cuadrada, marca FOX, rubro fiambres, presentación fiambres y embutidos.","Paleta de cerdo especial cuadrada, fiambre, marca Fox.",Paleta Especial Fox|Fox paleta|paleta fox cuadrada|paleta cerdo fox|113,ACTUALIZAR
114,Paleta Sandwichera Fox,"Fiambre Paleta Sandwichera, marca FOX, rubro fiambres, presentación fiambres y embutidos.","Paleta sandwichera de cerdo, fiambre en formato para sándwich, marca Fox.",Paleta Sandwichera Fox|Fox sandwichera|paleta sandwich fox|paleta cerdo fox,ACTUALIZAR
11840,Raviol Villa D'agri 500G pollo y jamon,"Fiambre Raviol 500G pollo y jamon, marca VILLA D'AGRI, 500 g, rubro fiambres.","Ravioles frescos de pollo y jamón, marca Villa D'Agri, formato 500 gramos.",ravioles|pasta rellena|raviol|ravioles de pollo|ravioles de jamón,ACTUALIZAR
11843,Ravioles Ricota/Espinaca1 KG BOLSA V. DAGRI,"Queso Ravioles Ricota/Espinaca1 KG BOLSA, marca V. DAGRI, 1 kg, rubro lácteos.","Ravioles de ricota y espinaca, marca V. Dagri, presentación 1 kg en bolsa.",ravioles|pasta rellena,ACTUALIZAR
12760,Mortadela Mini 300g C. AUSTRAL,"Fiambre Mortadela Mini 300g, marca C. AUSTRAL, 300 g, rubro fiambres.","Mortadela en rodajas, marca Austral, presentación de 300 g.",fiambre|mortadela|salchichón,ACTUALIZAR
12840,Raviol Villa D'agri 500G Ricota,"Queso Raviol 500G Ricota, marca VILLA D'AGRI, 500 g, rubro lácteos.","Ravioles de ricota y espinaca, marca Villa D'Agri, presentación 500 g.",ravioles|pasta fresca,ACTUALIZAR
13302,Torta Veneziana Limon 400G,"Panificado Torta Limon 400G, marca VENEZIANA, 400 g, rubro panificados.","Torta veneziana sabor limón, marca no especificada, presentación 400 g.",torta|torta de limón|veneziana,ACTUALIZAR
13840,Raviol Villa D'agri 500G Ricota y Espinaca,"Queso Raviol 500G Ricota y Espinaca, marca VILLA D'AGRI, 500 g, rubro lácteos.","Ravioles de ricota y espinaca, marca Villa D'Agri, 500 g.",ravioles|pasta rellena,ACTUALIZAR
14270,Patagonia 20G x90 Un. TONADITA,"Producto alimenticio Patagonia 20G x90 Un, marca TONADITA, 20 g, rubro alimentos.","Queso untable sabor natural, marca Tonadita, presentación de 20g x 90 unidades.",queso untable|queso tonadita|queso en porciones|queso en sachet,ACTUALIZAR
160,Mini Fynbo x KG,"Producto alimenticio Mini Fynbo x KG, rubro alimentos, presentación general.","Queso tipo Fynbo en presentación de 1 kg, marca Milkaut.",queso fynbo|queso mini fynbo|queso de pasta blanda,ACTUALIZAR
1614,Brownie EMETH 425g,"Panificado Brownie 425g, marca EMETH, 425 g, rubro panificados, presentación panificados.","Mezcla para brownie sabor chocolate, marca Emeth, presentación 425 g.",premezcla brownie|mezcla para brownie|brownie emeth,ACTUALIZAR
165,Ralladito Quesera 40 G,"Producto alimenticio Ralladito Quesera 40 G, 40 g, rubro alimentos.","Queso rallado en porciones individuales de 40 gramos, marca La Quesera.",queso rallado|ralladito|queso en porciones,ACTUALIZAR
167,Leberwust FOX,"Producto alimenticio Leberwust, marca FOX, rubro alimentos, presentación general, Código 167, catálogo MORENO.","Leberwurst de cerdo, marca Fox, en frasco de 200 g.",paté|pasta para untar|leberwurst,ACTUALIZAR
18,Bondiola Fox,"Fiambre Bondiola, marca FOX, rubro fiambres, presentación fiambres y embutidos.","Fiambre bondiola de cerdo, marca Fox, presentación 1.25 kg.",bondiola|fiambre|bondiola de cerdo,ACTUALIZAR
187,Tapa Pascualina La Mocita Hojaldre,"Panificado Tapa Pascualina La Mocita Hojaldre, rubro panificados, presentación panificados.","Tapa pascualina de hojaldre marca La Mocita, presentación en tubos.",tapa pascualina|tapa de hojaldre|tapa para pascualina,ACTUALIZAR
188,Tapa Rotisera La Mocita 600 G,"Panificado Tapa Rotisera La Mocita 600, 600 g, rubro panificados.","Tapa rotisera marca La Mocita, presentación de 600 g.",tapa de empanada|tapa de pastelito|tapa para roti,ACTUALIZAR
219,Chipa Sin TACC 250 G Emeth,"Panificado Chipa Sin TACC 250 G, marca EMETH, 250 g, rubro panificados.","Premezcla para chipa sin TACC, marca Emeth, presentación de 250 g.",chipa|premezcla de chipa,ACTUALIZAR
240,Provoleta x2 Arroyo Cabral KG,"Producto alimenticio Provoleta x2 Arroyo Cabral KG, rubro alimentos, presentación general.","Provoleta de queso, marca Arroyo Cabral, presentación de 1 kg.",provoleta|queso provoleta,ACTUALIZAR
241,Paleta DON OTTO Horma,"Fiambre Paleta Horma, marca DON OTTO, rubro fiambres, presentación fiambres y embutidos.","Paleta de cerdo marca Don Otto, presentada en horma.",fiambre|paleta|paleta don otto,ACTUALIZAR
243,Fiambre Cocido Pata de Cerdo RECREO Horma,"Fiambre Cocido Pata de Cerdo, rubro fiambres, presentación fiambres y embutidos.","Fiambre cocido pata de cerdo, marca Recreo, presentación horma.",fiambre|jamón cocido|pata de cerdo,ACTUALIZAR
245,Mortadela Bolognia A/V RECREO,"Fiambre Mortadela Bolognia A/V, marca RECREO, rubro fiambres, presentación fiambres y embutidos.","Mortadela tipo Bologna, marca Recreo, presentación en pieza de 1 kg.",morta|mortadela|fiambre,ACTUALIZAR
25,Morcillon FOX KG,"Producto alimenticio Morcillon KG, marca FOX, rubro alimentos, presentación general.","Morcilla de cerdo marca Fox, presentada en formato de 1 kg.",morcilla|morcilla de cerdo|morcilla fox,ACTUALIZAR
253,Tonadita CHEDDAR 8 Fetas,"Producto alimenticio CHEDDAR 8 Fetas, marca TONADITA, rubro alimentos, presentación general.","Queso cheddar en fetas, marca Tonadita, presentación de 100 g aproximadamente.",queso cheddar|cheddar tonadita|queso fetas|fetas de cheddar,ACTUALIZAR
26,Tonadita Dip 180 G,"Producto alimenticio Dip 180 G, marca TONADITA, 180 g, rubro alimentos.","Dip de queso sabor cheddar, marca Tonadita, presentación 180 g.",dip de queso|queso para untar|queso cheddar tonadita,ACTUALIZAR
260,Jamon Natural con Cuero FOX KG,"Fiambre Jamon Natural con Cuero KG, marca FOX, rubro fiambres.","Jamón cocido natural con cuero, marca Fox, presentación de 1 kg.",jamón|fiambre|jamón cocido,ACTUALIZAR
275,Jamon Cocido 201 KG,"Fiambre Jamon Cocido 201 KG, 201 kg, rubro fiambres, presentación fiambres y embutidos.","Jamón cocido, marca Sello Oro, presentación de 1 kg.",jamón|jamón cocido|jamón selloro,ACTUALIZAR
294,Pre Pizza T/ A la Piedra Veneziana,"Producto alimenticio Pre Pizza T/ A la, marca VENEZIANA, rubro alimentos.","Pre pizza a la piedra Veneziana, presentación de 425 gramos.",pre pizza|base de pizza|masa para pizza,ACTUALIZAR
295,Tortilla Veneziana 165 G,"Panificado Tortilla 165 G, marca VENEZIANA, 165 g, rubro panificados.","Tortilla integral marca Veneziana, presentación de 165 gramos.",tortilla|tortilla integral|tortilla veneziana,ACTUALIZAR
