product_code,nombre,descripcion
6934,TOPLINE SANDIA 30x20x6.70G,"Descubre el refrescante sabor de TOPLINE SANDIA, la opción perfecta para los días calurosos. Este delicioso snack de sandía en formato de 30x20x6.70 g es ideal para atraer a clientes en busca de un refrigerio saludable y lleno de sabor. Con 12 displays de 48 unidades cada uno, podrás maximizar tu espacio y ofrecer un producto que se vende solo. Atrae a un público joven y activo que busca opciones de compra por impulso y disfruta de un excelente margen de ganancia. ¡No dejes pasar esta oportunidad!"
14185,MOGUL JELLY BEANS 6X500G,"¡Descubre los irresistibles MOGUL JELLY BEANS! Con su explosión de sabores frutales y colores vibrantes, son el dulce perfecto para cautivar a tus clientes. Este paquete incluye 6 displays de 500g, ideal para exhibir en tu kiosco o almacén. Su atractivo formato promueve la compra por impulso, garantizando una rápida rotación. Además, con un excelente margen de ganancia, atraerás a un público diverso que busca un snack divertido y delicioso. ¡Haz que tus ventas se disparen con MOGUL JELLY BEANS!"
14799,MOGUL OSO EXTREME 6X500G,"¡Descubre la explosión de sabor en cada bocado con MOGUL OSO EXTREME! Este delicioso producto de 500g, presentado en cajas de 6 unidades, es la opción perfecta para atraer a los amantes de los dulces en tu kiosco. Su irresistible combinación de sabores y su icónica imagen de oso lo convierten en un imán de compras por impulso. Con un excelente margen de ganancia, MOGUL OSO EXTREME garantiza una rápida rotación en el mostrador, ¡no dejes pasar esta oportunidad de aumentar tus ventas!"
13987,MEDALLON  AGUILA DOS SABORES 20X12X14G,"Descubre el irresistible Medallón Águila, una delicia en dos sabores que conquistará a tus clientes. Presentado en un práctico formato de 20 cajas con 12 medallones de 14g cada una, es perfecto para el consumo diario. Su atractivo sabor y versatilidad lo convierten en un snack ideal para cualquier ocasión. Al tenerlo en tu mostrador, impulsas las compras por impulso y aseguras un excelente margen de ganancia. ¡No dejes pasar la oportunidad de aumentar tu rotación y satisfacción del cliente!"
11658,ROCKLETS MINI BOLSA 32X150G,"¡Descubre el sabor explosivo de ROCKLETS MINI! Estas irresistibles bolitas de chocolate, con su crujiente cobertura y suave interior, son perfectas para deleitar a tus clientes en cualquier momento del día. Presentadas en una práctica bolsa de 32 unidades de 150g cada una, son ideales para exhibir en tu kiosco o almacén. Con un alto margen de ganancia y un atractivo irresistible para el público joven y adulto, ¡ROCKLETS MINI garantizan una rotación continua y compras por impulso en tu mostrador!"
6901,TOPLINE FRUTA 30X20X6.7G,"Descubre TOPLINE FRUTA, el snack que está revolucionando el mercado con su explosión de sabor y frescura. Presentado en un práctico formato de 30 unidades de 20g cada una, es perfecto para exhibir en tu kiosco. Con un atractivo packaging y un delicioso sabor que cautiva a todos, es ideal para compras por impulso. Atrae a un público joven y activo, asegurando alta rotación y excelentes márgenes de ganancia. ¡No dejes pasar la oportunidad de incrementar tus ventas!"
1693,MOGUL CEREBRITOS 12X12X30G,"¡Descubre MOGUL CEREBRITOS, el snack que está revolucionando el mundo de los golosinas! Con su irresistible mezcla de sabores y formas divertidas, es el compañero perfecto para los momentos de ocio y diversión. Presentado en un formato ideal de 12 cajas de 12 unidades de 30g, cada porción es fácil de llevar y compartir. Este producto se vende rápidamente gracias a su atractivo para niños y adultos, garantizando un alto margen de ganancia y una rotación constante en tu mostrador. ¡No te quedes sin ellos!"
15392,BON O BON SUPREME 12X8X18GR,"Descubre el placer irresistible de Bon o Bon Supreme, el snack que conquista a todos con su mezcla perfecta de chocolate y crema. Presentado en una caja de 12 displays, cada uno contiene 8 deliciosas piezas de 18 gramos, ideales para compartir o disfrutar en cualquier momento. Este producto es un imán para las compras por impulso, garantizando un excelente margen de ganancia. Atrae a un público diverso que busca calidad y sabor en su día a día. ¡No dejes que falte en tu mostrador!"
15393,BON O BON SUPREME 3X12X36GR,"¡Descubre el irresistible BON O BON SUPREME! Con su mezcla perfecta de chocolate y crema, este delicioso snack es la tendencia que todos buscan. Presentado en un formato práctico de 3 paquetes de 12 unidades de 36g, es ideal para exhibir en tu kiosco. Su atractivo sabor lo convierte en un producto de compra por impulso, asegurando una alta rotación y un excelente margen de ganancia. No dejes pasar la oportunidad de deleitar a tus clientes y aumentar tus ventas."
15394,MOGUL 360 PELABLE MANGO 8X20X26GR,"Descubre el irresistible sabor tropical de MOGUL 360 Pelable Mango, un snack que atrae a todos los amantes de las frutas. Presentado en un formato práctico de 8 cajas de 20 unidades de 26 gramos, es ideal para exhibir en tu kiosco o almacén. Este producto no solo es perfecto para compras por impulso, sino que también ofrece un excelente margen de ganancia. Atrae a un público joven y dinámico que busca opciones deliciosas y saludables en cada bocado. ¡Hazlo parte de tu oferta hoy!"
15400,MOGUL 360 OSITO SURTIDO 4D 8X20X26GR,"Descubre la magia de MOGUL 360 Osito Surtido 4D, ¡un dulce que encantará a grandes y chicos! Con su irresistible sabor y textura, estos ositos son el snack perfecto para cualquier ocasión. Presentados en un formato atractivo de 8 cajas de 20 unidades (26g), son ideales para exhibir en tu kiosco. Su atractivo diseño y variedad fomentan la compra por impulso, garantizando un excelente margen de ganancia. ¡Aprovecha la tendencia de los snacks divertidos y aumenta tus ventas hoy!"
15417,ROCKLETS MUNDIAL 12X24X20G,"¡Descubre la explosión de sabor con ROCKLETS MUNDIAL! Estas deliciosas bolitas de chocolate son el snack perfecto para los amantes de la dulzura. Presentadas en un práctico formato de 12 displays de 24 unidades de 20g, son ideales para exhibir en tu kiosco o almacén. Con un alto potencial de compra por impulso y un margen atractivo, ROCKLETS conquistará a niños y adultos. ¡No dejes pasar la oportunidad de aumentar tus ventas y atraer a más clientes!"
