base_product_code,related_product_code,reason,is_mock
F001,F037,Combina la lavandina con un trapo para una limpieza efectiva.,true
F003,F015,La lavandina concentrada se complementa perfectamente con un desinfectante.,true
F008,F001,El lavavajillas es ideal para usar junto a la lavandina para una limpieza completa.,true
F201,F227,Disfruta de una buena infusión con yerba y su presentación más pequeña.,true
F067,F116,El arroz combina perfectamente con fideos para una comida deliciosa.,true
F055,F060,Los Takis Fuego son un excelente complemento para los Takis Original.,true
F034,F281,Los alfajores son perfectos para acompañar con golosinas.,true
F410,F171,El agua saborizada es ideal para acompañar un jugo fresco.,true
F140,F144,Las rapiditas son perfectas para disfrutar con pan blanco.,true
F355,F361,Prueba diferentes variedades de cigarrillos de la misma marca.,true
