product_code,nombre,descripcion
AFCE0103,Bondiola Magret EV,"Bondiola de cerdo envasada al vacío, marca Magret, ideal para asar a la parrilla, cocinar al horno o preparar a la cerveza. Presenta un sabor intenso y excelente marmoleo de grasa que aporta jugosidad."
AFCE0108,Chorizo x 4un Magret EV x 400gr,"Chorizo elaborado con carne de cerdo, especias y condimentos, presentado en un envase de 400 gramos que contiene 4 unidades, ideal para asados y parrillas. Producto envasado al vacío para mantener frescura y sabor."
AFBE0002,Fanta Naranja x 1.5Lt,"Bebida gaseosa sabor naranja en presentación de 1.5 litros, elaborada con agua carbonatada, edulcorantes y saborizantes naturales, sin azúcar y sin calorías, ideal para compartir en reuniones y eventos."
AFBE0013,Schweppes Pomelo x 1.5Lt,"Gaseosa sabor pomelo sin azúcares, presentada en botella de PET de 1,5 litros, diseñada para conservar la carbonatación. Contiene agua carbonatada, saborizantes naturales y edulcorantes, ideal para mezclar con bebidas alcohólicas o consumir sola."
AFBE0015,Coca Zero Lata x 354CC,"Gaseosa Coca-Cola Zero en lata de 354 cc, sin azúcares, con sabor clásico y formulación libre de calorías, ideal para quienes buscan una alternativa a la Coca-Cola tradicional."
AFDE0233,Pringles Chedar & Bacon 105gr,"Papas fritas en forma de chips, sabor Cheddar y Bacon, presentadas en envase de 105 gramos, con ingredientes que incluyen papa deshidratada, aceite vegetal y saborizantes artificiales, ideales para consumo como snack en cualquier ocasión."
AFTE0067,Media Luna De Vacio,"Corte de carne vacuna correspondiente a la sección interna del vacío, caracterizado por su forma semicircular, textura jugosa y sabor pronunciado, ideal para cocinar a la parrilla o al horno."
AFLA0070,Brie Formagge x 100gr,"Queso Brie de 100 gramos, elaborado por la marca Formagge, con textura cremosa y sabor suave, ideal para tablas de quesos y acompañamientos. Sin T.A.C.C., apto para celíacos."
AFLA0074,Provoleta Parrillera Formagge x 450gr,"Provoleta parrillera de pasta hilada, elaborada por Formagge, presentada en un envase de 450 gramos, ideal para asar a la parrilla, sin gluten y con un sabor característico que se derrite al calor."
AFLA0078,Provolone Patagonico Formagge x 220gr,"Queso provolone patagónico de 220 gramos, elaborado con leche de vaca, de textura elástica y sabor picante, ideal para parrilla. Presentación envasada al vacío para conservar frescura y calidad, marca Formagge."
AFLA0080,Corazon de Gouda Formagge x 210gr,"Queso Gouda de pasta dura, elaborado por Formagge, presentado en porciones de 210 gramos. Este queso se caracteriza por su textura cremosa y sabor suave, ideal para tablas de quesos y acompañamientos en comidas."
AFTE0007,Molleja,"Molleja de corazón de ternera, corte de carne de víscera, envasada al vacío, ideal para asar a la parrilla, con textura firme y sabor característico, proveniente de ganado alimentado a pasto."
AFTE0045,Nalga Porcionada,"Nalga porcionada de carne vacuna, corte magro y tierno, ideal para asado o guisos, envasada al vacío para preservar frescura y sabor, proveniente de ganado alimentado a pasto en Argentina."
AFTE0092,Asado en tiras (6 costillas),"Asado en tiras, corte de carne de res que incluye 6 costillas, ideal para cocción a la parrilla o a la brasa, con una presentación que resalta su terneza y sabor, recomendado para asados familiares y reuniones."
AFTE0092(C),Asado en tiras (6 costillas)(C),"Asado en tiras de novillo, compuesto por 6 costillas, con un estándar de marmoleo ideal que asegura sabor y jugosidad, presentado en porciones de 1 kg, apto para parrilla y cocción a la brasa."
AFTE0999,Entraña estancia CP,"Entraña de novillo, corte de carne de res con un alto contenido de sabor y jugosidad, presentado envasado al vacío, ideal para asados. Procedente de estancia CP, se recomienda cocinar a la parrilla o a la plancha."
VACO0011,Filet galloFazzio,"Filet de gallo Fazzio, carne de pescado de alta calidad, envasado al vacío para garantizar frescura y sabor, ideal para asados y parrillas. Presentación de 1.1 kg aproximadamente."
VACO0012,Combo paellaFazzio,"Combo de paella que incluye mariscos, pollo y chorizo, envasado al vacío para conservar frescura y sabor. Ideal para preparar una paella tradicional, con ingredientes seleccionados de alta calidad, marca Fazzio."
VACO0029,Coca cola vidrio 237ml,"Gaseosa Coca Cola Zero en botella de vidrio de 237 ml, sin calorías, elaborada con ingredientes naturales y sabor original, ideal para quienes buscan una opción refrescante sin azúcares añadidos."
VACO0033,Monjita Blue Moon,"Cerveza artesanal estilo witbier, elaborada con malta de trigo y lúpulo, presenta un sabor suave con notas cítricas y especiadas, envasada en porrones de 355 ml, ideal para acompañar comidas ligeras y picadas."
AFCE0102,Matambre de cerdo Magret,"Matambre de cerdo Magret, corte de carne de cerdo de la parte lateral del animal, envasado al vacío, ideal para asar a la parrilla o cocinar al horno, con un sabor característico y jugosidad. Peso aproximado de 1 kg."
AFTE0010,Vacio,"Corte de carne vacío, también conocido como vacío angosto, proveniente de la parte delgada del abdomen del animal, con un balance óptimo entre textura y sabor, ideal para asados y parrillas, presentado envasado al vacío o refrigerado."
AFTE0068,Tapa De Vacio,"Tapa de vacío, corte de carne de res, proveniente de la parte posterior del animal, ideal para asados, envasada al vacío para preservar frescura y sabor, disponible en presentación refrigerada o congelada."
VACO0194,Jamon crudo trozo en vacio x kg,"Jamón crudo de cerdo, envasado al vacío, presentado en trozos de 1 kg, con un proceso de curación tradicional que resalta su sabor y textura. Ideal para ser utilizado en tablas de fiambres o como ingrediente en diversas preparaciones."
AFBO0047,Campari x 750cc,"Aperitivo Campari de 750cc, elaborado a partir de una mezcla de hierbas, frutas y especias, con un sabor amargo característico, ideal para cócteles como el Negroni o el Americano."
AFTE0002,Picaña,"Picaña fresca, corte de carne bovina de la parte trasera del animal, envasada al vacío, ideal para asados. Presenta una capa de grasa que aporta sabor y jugosidad, con un peso aproximado de 1 a 2 kg por pieza."
AFTE0006,Ojo de Bife,"Ojo de bife, corte de carne vacuna proveniente del bife ancho, caracterizado por su jugosidad y sabor, ideal para asados y parrillas, presentado en porciones de 1 kg, envasado al vacío y refrigerado."
AFTE0029,Arañita Vacuna,"Carne de corte arañita vacuna, envasada al vacío y refrigerada, proveniente de ganado de primera calidad. Presentación de 20 kg, ideal para asados y parrillas, con un sabor característico y jugosidad."
AFTE0085,Asado Banderita(6 costillas),"Asado Banderita, corte de carne de res compuesto por 6 costillas, envasado al vacío y refrigerado, ideal para parrilla. Presenta un buen nivel de grasa entreverada, lo que aporta sabor y jugosidad al asado."
AFTE0091(C),Asado tira ancha (6 costillas)(C),"Asado tira ancha de novillo, compuesto por 6 costillas, envasado al vacío, ideal para parrilla. Este corte presenta un alto contenido de marmoleo, garantizando jugosidad y cocción pareja, perfecto para asar a la parrilla."
AFTE0100,Hookipa beef,"Bife ancho de res premium, envasado al vacío, proveniente de ganado alimentado a pasto en Argentina, ideal para asados y parrillas, con un alto contenido de grasa intramuscular que garantiza sabor y jugosidad."
VACO0015,Paella cocinadaFazzio,"Paella cocinada Fazzio, mezcla de arroz, mariscos y verduras, lista para calentar y servir, envasada al vacío para conservar frescura y sabor, ideal para compartir en reuniones familiares o eventos."
VACO0023,Arrollados de pollo FazzioFazzio,"Arrollado de pollo envasado al vacío, elaborado con pechuga de pollo de alta calidad, condimentado y cocido a baja temperatura para preservar su sabor y textura. Presentación de 1 kg, ideal para sándwiches y platos fríos."
AFAP0001,Branca 750cc,"Fernet Branca 750 ml, aperitivo amargo elaborado a partir de una mezcla de hierbas y especias, con un proceso de maceración en alcohol. Se consume tradicionalmente con gaseosa, ideal para reuniones sociales."
AFBE0001,Coca Cola x 1.5Lt,"Gaseosa cola en presentación de 1,5 litros, elaborada con agua carbonatada, azúcar, colorante caramelo, ácido fosfórico, cafeína y saborizantes naturales. Contiene 140 calorías por porción de 250 ml."
AFBO0203,Enemigo cab-franc x750,"Vino tinto elaborado con uvas Cabernet Franc de la bodega El Enemigo, con un perfil aromático que incluye frutas rojas y especias, presentado en botella de 750 mL, ideal para maridar con carnes asadas."
AFCE0009,Costillitas Ribbs,"Costillitas de cerdo tipo ribs asadas con salsa barbacoa, marca Bocatti, presentadas en un peso aproximado de 1 kg, sin T.A.A.C., ideales para parrilla o asado."
AFDE0041,Berenjenas en Escabeche x 310gr,"Berenjenas en escabeche en frascos de 310 gramos, elaboradas con berenjenas seleccionadas, sumergidas en una mezcla de vinagre, aceite, especias y sal, ideales para acompañar platos o como aperitivo."
