base_product_code,related_product_code,reason,is_mock
1415,1407,Pasá de escoba 5 hilos común a 7 hilos Imperial (más cuerpo).,true
1521,SND-2521,Mismo tamaño 0.40 m: subí al lampazo premium SUNDE.,true
1523,SND-2523,Lampazo 0.80 m estándar al premium SUNDE (SND-2523).,true
FS-701,1828,Escobillón de cerda liso: llevate la versión con cabo.,true
LNN-183,LNN-2460,Del balde 10 L económico al oval 16 L con mopa (colores).,true
B3248,B3250,De la olla N°40 a la olla del 50 (100 L).,true
3408,3410,Detergente Albo 750 cc al bidón de 5 L (mejor costo).,true
150-02,160-02,Sahumerio benjuí x15 al pack x100.,true
B2533,B2531,Organizador 10 L al de 30 L con tapa.,true
SND-2521,SND-2524,Lampazo premium chico al de 1.00 m (máxima cobertura).,true
