codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
RV-BOMBILLA-001,Bombilla Plana 19 Cm. Acero Inox.,"Bombilla plana de 19 cm de acero inoxidable, marca Rei Verde.","Bombilla plana de 19 cm de acero inoxidable, marca Waterdog.",bombilla|bombilla de mate|sorbete,ACTUALIZAR
RV-BOMBILLA-002,"Bombilla  Pico De Rey 17,5 Cm. Acero Inox.","Bombilla de acero inoxidable 17,5 cm, marca Pico de Rey.","Bombilla de acero inoxidable Pico de Rey de 17,5 cm, marca Rei Verde.",bombilla|pico de rey,ACTUALIZAR
RV-BOMBILLA-003,"Bombilla  Pico De Loro 19,5 Cm. Acero Inox.","Bombilla pico de loro de 19,5 cm, acero inoxidable, marca Rei Verde.","Bombilla pico de loro de 19,5 cm, acero inoxidable.",bombilla|pico loro|bombilla de acero|bombilla para mate,ACTUALIZAR
RV-BOMBILLA-004,Bombilla Plana 17 Cm. Acero Inox.,"Bombilla plana de acero inoxidable de 17 cm, apta para lavavajillas.","Bombilla plana de 17 cm, acero inoxidable, marca Stanley.",bombilla|bombilla de mate|sorbete,ACTUALIZAR
RV-BOMBILLA-005,Bombilla Plana 15 Cm. Acero Inox.,"Bombilla plana de 15 cm de acero inoxidable, marca Stanley.","Bombilla plana de 15 cm de acero inoxidable, marca Stanley.",bombilla|bombilla de mate|bombilla chata,ACTUALIZAR
RV-PREMIUM-007,Yerba M. Premiun Ed. Limitada X 1 Kg,"Yerba mate premium con sabor ahumado y cremoso, marca Rei Verde, bolsa de 1 kg.","Yerba mate premium ahumada y cremosa, marca Rei Verde, bolsa de 1 kg.",yerba|mate|yerba mate,ACTUALIZAR
RV-TERERE-001,Terere - LIMON c/ MENTA x250 Gr,"Tereré sabor limón con menta, marca Rei Verde, presentación de 250 g.","Yerba mate saborizada con limón y menta, marca Rei Verde, 250 g.",yerba|tereré|yerba saborizada,ACTUALIZAR
RV-TERERE-002,Terere - ANANA c/ MENTA  x250 Gr,"Yerba mate para tereré sabor ananá con menta, marca Rei Verde, 250 g.","Yerba mate tereré con palo sabor ananá y menta, marca Rei Verde, 250 g.",yerba|mate|tereré,ACTUALIZAR
RV-TERERE-003,Terere - NARANJA c/ MENTA x250 Gr,"Tereré sabor naranja con menta, marca Rei Verde, envase Doypack 250 g.","Tereré sabor naranja con menta, marca Rei Verde, envase Doypack 250 g.",tereré|yerba|mate|infusión,ACTUALIZAR
RV-KIT-TERERE-001,KIT Terere -   LIMON c/ MENTA x250 Gr,"Yerba mate para tereré sabor limón con menta, marca Rei Verde, 250 g.","Yerba mate tereré con palo sabor limón y menta, marca Rei Verde, 250 g.",yerba|tereré|mate|yerba con sabor|yerba saborizada,ACTUALIZAR
RV-KIT-TERERE-002,KIT Terere -   ANANA c/ MENTA x250 Gr,"Yerba mate tereré con palo sabor ananá y menta, marca Rei Verde, 250 g.","Yerba mate tereré con palo sabor ananá y menta, marca Rei Verde, 250 g.",yerba|tereré|mate|yerba con sabor,ACTUALIZAR
RV-KIT-TERERE-003,KIT Terere -   NARANJA c/ MENTA x250 Gr,"Yerba mate tereré con palo sabor naranja y menta, marca Rei Verde, 250 g.","Yerba mate tereré con palo sabor naranja con menta, marca Rei Verde, 250 g.",yerba|tereré|mate|yerba con menta,ACTUALIZAR
RV-CLASSICA-004,Yerba M. Clas. Export X 1 Kg,"Yerba mate clásica, marca Rei Verde, presentación de 1 kg en pack de 3 unidades.","Yerba mate clásica, marca Rei Verde, formato exportación de 1 kg.",yerba|mate|yerba mate,ACTUALIZAR
RV-CLASSICA-007,Yerba M. Clas. Export X 5 Kg,"Yerba mate clásica exportación, marca Rei Verde, presentación de 5 kg.","Yerba mate clásica export, marca Rei Verde, presentación de 5 kg.",yerba|mate|yerba mate,ACTUALIZAR
RV-TRADICIONAL-001,Yerba M. Tradicional Export X 500 Gr.,"Yerba mate tradicional, marca Rei Verde, presentación de 500 gramos.","Yerba mate tradicional, marca Rei Verde, presentación de 500 gramos.",yerba|mate|yerba mate,ACTUALIZAR
RV-TRADICIONAL-004,Yerba M. Tradicional Export X 1 Kg,"Yerba mate tradicional, marca Rei Verde, presentación de 1 kg.","Yerba mate tradicional, marca Rei Verde, presentación de 1 kg.",yerba|mate|yerba mate,ACTUALIZAR
