codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
10003,AMERICANO GANCIA 450ml 14°,"Aperitivo, marca Gancia, 450 ml, caja x12, aperitivos, lista ESEKA-U sucursal Córdoba.","Aperitivo Americano Gancia 450 ml 14°, caja x12.",gancia|americano|aperitivo|450|caja|bulto|10003,ACTUALIZAR
10017,MARTINI 1L ROSSO,"Aperitivo, marca Martini, 1 L, caja x12, aperitivos, rosso, lista ESEKA-U sucursal Córdoba.","Vermouth rosso, marca Martini, presentación en botella de 1 L.",vermouth|aperitivo,ACTUALIZAR
1003,FOAMY REGULAR X 312 GR,"Espuma de afeitar, marca Foamy, 312 g, caja x12, espuma de afeitar.","Espuma de afeitar Gillette Foamy Regular, 312 gramos.",espuma de afeitar|espuma|afeitadora,ACTUALIZAR
10044,DR LEMON 473ml LIMÓN 4º,"Bebida lista para tomar, marca Dr Lemon, 473 ml, caja x24, ready to drink.","Bebida lista para tomar Dr Lemon limón 4°, 473 ml, caja x24.",dr lemon|limon|lata|473|caja|bulto|10044,ACTUALIZAR
10050,DR LEMON 1L LIMÓN 4% - Sin Tacc,"Bebida lista para tomar, marca Dr Lemon, 1 L, caja x12, ready to drink.","Bebida lista para tomar Dr Lemon limón 4%, 1 L, caja x12.",dr lemon|limon|ready to drink|litro|caja|bulto|10050,ACTUALIZAR
10065,BACARDI CARTA BLANCA 980ml PT 40°,"Ron, marca Bacardi, 980 ml, caja x12, bebidas blancas, carta blanca.","Ron blanco Bacardi Carta Blanca 980 ml, 40° de graduación.",ron|bebida|licor,ACTUALIZAR
10069,JAMAICA 1L GOLD RUM,"Ron, marca Jamaica, 1 L, caja x8, bebidas blancas, gold.","Ron Jamaica Gold 1 L, caja x8, bebidas blancas.",ron|jamaica|gold|litro|caja|bulto|10069,ACTUALIZAR
1014,PILA AA X 2 DURACELL,"Pila, marca Duracell, caja x48, pilas, lista ESEKA-U sucursal Córdoba.","Pila AA alcalina Duracell, paquete de 2 unidades.",pila|batería|pilas|baterías,ACTUALIZAR
1015,PILA AA X 4 DURACELL,"Pila, marca Duracell, caja x48, pilas, lista ESEKA-U sucursal Córdoba.","Pila alcalina AA Duracell, blister x4, venta por unidad, caja x48.",pila|pila aa|duracell|pilas|batería|caja|bulto|1015,ACTUALIZAR
1016,PILA AAA X 2 DURACELL,"Pila, marca Duracell, caja x48, pilas, lista ESEKA-U sucursal Córdoba.","Pila alcalina AAA Duracell, blister x2, venta por unidad, caja x48.",pila|pila aaa|duracell|pilas|batería|caja|bulto|1016,ACTUALIZAR
1095,DOWNY 500ml BRISA SUAVE,"Suavizante de ropa, marca Downy, 500 ml, caja x12, suavizante, brisa suave.","Suavizante para ropa Brisa Suave 500 ml, marca Downy.",suavizante|suavizante líquido,ACTUALIZAR
1098,DOWNY 1L BRISA SUAVE,"Suavizante de ropa, marca Downy, 1 L, caja x12, suavizante, brisa suave.","Suavizante concentrado Brisa Suave, marca Downy, presentación 1 L.",suavizante|suave|brisa suave,ACTUALIZAR
11011,YM TARAGUI C/P 1/2 kg,"Yerba mate, marca Taragüi, 1/2 kg, caja x10, yerba mate.","Yerba mate Taragüi tradicional, presentación en bolsa de 500 g.",yerba|mate,ACTUALIZAR
11012,YM TARAGUI C/P 1 kg,"Yerba mate, marca Taragüi, 1 kg, caja x10, yerba mate.","Yerba mate con palo, marca Taragüi, presentación de 1 kg.",yerba|mate|yerba con palo,ACTUALIZAR
11071,YM MAÑANITA BCP 1/2 kg,"Yerba mate, marca Mañanita, 1/2 kg, caja x10, yerba mate.","Yerba mate Mañanita con palo, paquete de 1/2 kg, caja x10.",yerba|yerba mate|mañanita|medio kilo|caja|bulto|11071,ACTUALIZAR
11279,SUEROX MANZANA 630 ML,"Bebida isotónica, marca Suerox, 630 ml, caja x6, bebidas isotónicas, manzana.","Bebida isotónica sabor manzana, marca Suerox, formato 630 ml.",bebida isotónica|suero|hidratante,ACTUALIZAR
11282,SUEROX LIMONADA 630ML,"Bebida isotónica, marca Suerox, 630 ml, caja x6, bebidas isotónicas, limón.","Bebida isotónica sabor limonada, marca Suerox, presentación de 630 ml.",bebida isotónica|isotónica|suero|limonada,ACTUALIZAR
11617,OLD SPICE DES. BARRA FRESH 50g,"Desodorante, marca Old Spice, 50 g, caja x12, desodorantes, fresh.","Desodorante en barra fragancia fresca, marca Old Spice, 50 g.",desodorante|barra|antitranspirante,ACTUALIZAR
11797,ALWAYS XTRA NOCHES TRAN. SECAS X8,"Toalla femenina, marca Always, caja x12, cuidado femenino, noche, lista ESEKA-U sucursal Córdoba.","Toallas femeninas Always Xtra noches tranquilas secas, 8 unidades.",toallas|toallitas|toallas femeninas,ACTUALIZAR
1191,PAMPERS BABYDRY MED x8,"Pañal, marca Pampers, caja x16, pañales, talle M, lista ESEKA-U sucursal Córdoba.","Pañales desechables Pampers Baby Dry talle M, presentación de 8 unidades.",pañales|pañal|baby dry,ACTUALIZAR
1192,PAMPERS BABYDRY GDE X8,"Pañal, marca Pampers, caja x16, pañales, talle G, lista ESEKA-U sucursal Córdoba.","Pañal Pampers BabyDry talle G, pack x8, caja x16.",pañal|pampers|babydry|talle g|grande|caja|bulto|1192,ACTUALIZAR
1194,PAMPERS BABYDRY PEQ X8,"Pañal, marca Pampers, caja x16, pañales, talle P, lista ESEKA-U sucursal Córdoba.","Pañales desechables Pampers Baby Dry talle pequeño, presentación de 8 unidades.",pañales|pañal|baby dry|pampers,ACTUALIZAR
1641,MAGISTRAL LIMON 300ML,"Lavavajillas, marca Magistral, 300 ml, caja x21, lavavajillas, limón, lista ESEKA-U sucursal Córdoba.","Lavavajillas Magistral limón 300 ml, caja x21.",lavavajillas|magistral|limon|detergente|caja|bulto|1641,ACTUALIZAR
1642,MAGISTRAL LIMON 500ML,"Lavavajillas, marca Magistral, 500 ml, caja x20, lavavajillas, limón, lista ESEKA-U sucursal Córdoba.","Detergente líquido concentrado con aroma a limón, marca Magistral, 500 ml.",detergente|jabón líquido|limpiador,ACTUALIZAR
1643,MAGISTRAL LIMON 750ML,"Lavavajillas, marca Magistral, 750 ml, caja x18, lavavajillas, limón, lista ESEKA-U sucursal Córdoba.","Detergente líquido desengrasante limón, marca Magistral, 750 ml.",detergente|lavavajillas|limpiador,ACTUALIZAR
18240,PLB SH X1LTR Brillo,"Shampoo, marca Plusbelle, 1 L, caja x12, shampoo y acondicionador.","Shampoo Plusbelle Brillo 1 L, caja x12, cuidado de cabello.",shampoo|plusbelle|plb|brillo|litro|caja|bulto|18240,ACTUALIZAR
18260,PLB CN X1LTR Brillo Corazón,"Acondicionador, marca Plusbelle, 1 L, caja x12, shampoo y acondicionador.","Acondicionador Plusbelle Brillo Corazón 1 L, caja x12, cuidado de cabello.",acondicionador|plusbelle|plb|brillo|litro|caja|bulto|18260,ACTUALIZAR
18342,ZORRO JB LIQ DP Evol Quitamanchas 800ml,"Jabón líquido para ropa, marca Zorro, 800 ml, caja x14, jabón líquido.","Detergente líquido concentrado quitamanchas marca Zorro, 800 ml.",detergente|limpiador|quitamanchas,ACTUALIZAR
18343,ZORRO JB LIQ DP Evol Quitamanchas 3L,"Jabón líquido para ropa, marca Zorro, 3 L, caja x4, jabón líquido.","Jabón líquido quitamanchas marca Zorro, formato Doy Pack de 3 litros.",jabón|quitamanchas|doy pack,ACTUALIZAR
18367,Zorro BAÑO GAT LIMP. PROF. 500ml,"Limpiador de baño, marca Zorro, 500 ml, caja x20, limpiadores específicos.","Desinfectante para baño, marca Zorro, presentación 500 ml.",limpiador|desinfectante|limpieza,ACTUALIZAR
18415,ACE POUCH X3000 ML,"Jabón líquido para ropa, marca Ace, 3000 ml, caja x4, jabón líquido.","Jabón líquido marca Ace, formato pouch de 3000 ml.",jabón|jabón líquido|pouch,ACTUALIZAR
18729,MAGISTRAL GATILLO X 500ml LIMON ANTIGRASA,"Limpiador en gatillo, marca Magistral, 500 ml, caja x12, limpiadores, limón.","Desinfectante líquido antigrasas con aroma a limón, marca Magistral, 500 ml.",desinfectante|limpiador|antigrasa,ACTUALIZAR
18730,MAGISTRAL GATILLO X 500ml NARANJA ANTIGRASA,"Limpiador en gatillo, marca Magistral, 500 ml, caja x12, limpiadores, naranja.","Desengrasante líquido en botella de 500 ml, marca Magistral, aroma naranja.",desengrasante|limpiador|antigrasa,ACTUALIZAR
1880,PASTA ORAL-B 150gr 123,"Pasta dental, marca Oral-B, 150 g, caja x24, cuidado bucal.","Pasta dental sabor menta suave, marca Oral-B, 150 g.",pasta|dentífrico,ACTUALIZAR
18805,CHOCMAN BAÑO SEMIAMARGO 35 GR,"Chocolate, marca Chocman, 35 g, caja x18, chocolate, lista ESEKA-U sucursal Córdoba.","Bocaditos de chocolate semiamargo con dulce de leche, marca Bonafide, 35 g cada uno.",chocman|bocaditos|chocolate,ACTUALIZAR
18928,CHOCMAN COCO x 35G,"Chocolate, marca Chocman, 35 g, caja x18, chocolate, coco, lista ESEKA-U sucursal Córdoba.","Chocolate Chocman sabor coco, 35 g, caja x18, marca Bonafide.",chocman|chocolate|coco|bonafide|caja|bulto|18928,ACTUALIZAR
20102,POETT 900ml BEBE MULTIESP Desinf.,"Limpiador desinfectante, marca Poett, 900 ml, caja x12, limpiadores, bebé.","Desinfectante líquido multiuso Poett, presentación de 900 ml.",desinfectante|limpiador|limpia pisos,ACTUALIZAR
20104,POETT 900ml ESPIRITU MULTIESP Desinf.,"Limpiador desinfectante, marca Poett, 900 ml, caja x12, limpiadores, lista ESEKA-U sucursal Córdoba.","Desinfectante líquido para pisos aroma espíritu, marca Poett, 900 ml.",limpiador de pisos|desinfectante|limpia pisos,ACTUALIZAR
20109,POETT 900ml ALEGRA TU DIA MULTIESP Desinf.,"Limpiador desinfectante, marca Poett, 900 ml, caja x12, limpiadores, lista ESEKA-U sucursal Córdoba.","Desinfectante multiuso Poett aroma Alegra Tu Día, 900 ml.",limpiador|desinfectante|limpiador de pisos,ACTUALIZAR
2413,ALWAYS PROT. DIARIOS PERF X 40 NUEVO,"Protectores diarios, marca Always, caja x24, cuidado femenino, uso diario.","Toallas femeninas protectoras diarias sin perfume, marca Always, paquete de 40 unidades.",toallas|toallitas|protectores|toallitas femeninas,ACTUALIZAR
508,COCA COLA x 1.5 CC,"Gaseosa, marca Coca-Cola, 1.5 L, caja x6, gaseosas, lista ESEKA-U sucursal Córdoba.","Gaseosa Coca-Cola sabor original, formato 1.5 L.",gaseosa|coca|coca cola,ACTUALIZAR
550,PRESTO ULTRA GRIP X UNIDAD (NUEVA),"Máquina de afeitar, marca Prestobarba, caja x576, afeitado desechable, lista ESEKA-U sucursal Córdoba.","Máquina de afeitar Prestobarba Ultra Grip, marca Gillette, 1 unidad.",máquina de afeitar|afeitadora,ACTUALIZAR
551,HS 375ml SH ANTICOMEZON,"Shampoo, marca Head & Shoulders, 375 ml, caja x12, cuidado de cabello, anticómezón.",Shampoo anticaspa Head & Shoulders Anti-Comezón 375 ml.,shampoo|champú,ACTUALIZAR
552,HS 180ml SH ANTICOMEZON,"Shampoo, marca Head & Shoulders, 180 ml, caja x12, cuidado de cabello, anticómezón.","Shampoo anticaspa con acción anti-comezón, marca Head & Shoulders, 180 ml.",shampoo|shampo|anticaspa,ACTUALIZAR
5603,FELFORT MENTITAS 30 X 16 GRS,"Chocolate, marca Felfort, 16 g, caja x12, chocolate, mentitas, lista ESEKA-U sucursal Córdoba.","Bocadito de menta con chocolate, marca Felfort, presentación de 30 unidades de 16 g.",mentitas|bocaditos,ACTUALIZAR
7636,HS 375ml SH MANZANA FRESH,"Shampoo, marca Head & Shoulders, 375 ml, caja x12, cuidado de cabello, manzana.","Shampoo Head & Shoulders Manzana Fresh 375 ml, caja x12.",shampoo|head and shoulders|hs|manzana|caja|bulto|7636,ACTUALIZAR
8006,PASTA ORAL-B 70g 123,"Pasta dental, marca Oral-B, 70 g, caja x48, cuidado bucal.","Pasta dental Oral-B 123 sabor menta suave, 70 g.",pasta de dientes|crema dental|pasta dental,ACTUALIZAR
8105,CEP. ORAL-B 123 x1,"Cepillo dental, marca Oral-B, caja x36, cuidado bucal, lista ESEKA-U sucursal Córdoba.","Cepillo dental Oral-B 123 x1, caja x36, cuidado bucal.",cepillo|oral-b|cepillo dental|caja|bulto|8105,ACTUALIZAR
8106,CEP. ORAL-B 123 x2,"Cepillo dental, marca Oral-B, caja x36, cuidado bucal, lista ESEKA-U sucursal Córdoba.","Cepillo dental Oral-B 123 x2, caja x36, cuidado bucal.",cepillo|oral-b|pack x2|caja|bulto|8106,ACTUALIZAR
880,Downy Bot Brisa Suave 350ml,"Suavizante de ropa, marca Downy, 350 ml, caja x12, suavizante, brisa suave.","Suavizante concentrado Brisa Suave 350 ml, marca Downy.",suavizante|brisa suave|downy,ACTUALIZAR
10040,DR LEMON 1L VODKA 5º - Sin Tacc,"Bebida lista para tomar, marca Dr Lemon, 1 L, caja x12, ready to drink.","Bebida lista para tomar Dr Lemon vodka 5°, 1 L, caja x12.",dr lemon|vodka|litro|ready to drink|caja|bulto|10040,ACTUALIZAR
