codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
AFCE0103,Bondiola Magret EV,"Bondiola de cerdo envasada al vacío, marca Magret, ideal para asar a la parrilla, cocinar al horno o preparar a la cerveza. Presenta un sabor intenso y excelente marmoleo de grasa que aporta jugosidad.","Bondiola de cerdo de la marca Magret, envasada al vacío. Presenta un excelente marmoleo de grasa que aporta una jugosidad única, siendo ideal para asar a la parrilla, cocinar al horno o preparar a la cerveza.",bondiola|bondiola de cerdo|magret|fiambre,ACTUALIZAR
AFCE0108,Chorizo x 4un Magret EV x 400gr,"Chorizo elaborado con carne de cerdo, especias y condimentos, presentado en un envase de 400 gramos que contiene 4 unidades, ideal para asados y parrillas. Producto envasado al vacío para mantener frescura y sabor.","Chorizo elaborado con carne de cerdo, especias y condimentos, presentado en un paquete de 4 unidades de 400 gramos, envasado al vacío para preservar frescura y sabor, ideal para asados y parrillas.",chorizo|chori|chorizo parrillero,ACTUALIZAR
AFBE0002,Fanta Naranja x 1.5Lt,"Bebida gaseosa sabor naranja en presentación de 1.5 litros, elaborada con agua carbonatada, edulcorantes y saborizantes naturales, sin azúcar y sin calorías, ideal para compartir en reuniones y eventos.","Gaseosa sabor naranja sin azúcar, presentada en botella de 1.5 litros, formulada con edulcorantes artificiales, ideal para consumo en reuniones y eventos sociales.",gaseosa de naranja|naranja|fanta,ACTUALIZAR
AFBE0013,Schweppes Pomelo x 1.5Lt,"Gaseosa sabor pomelo sin azúcares, presentada en botella de PET de 1,5 litros, diseñada para conservar la carbonatación. Contiene agua carbonatada, saborizantes naturales y edulcorantes, ideal para mezclar con bebidas alcohólicas o consumir sola.","Gaseosa sabor pomelo sin azúcares, presentada en botella de PET de 1,5 litros, diseñada para conservar la carbonatación y frescura del producto. Ideal para mezclar en cócteles o consumir sola.",gaseosa pomelo|pomelo|schweppes,ACTUALIZAR
AFBE0015,Coca Zero Lata x 354CC,"Gaseosa Coca-Cola Zero en lata de 354 cc, sin azúcares, con sabor clásico y formulación libre de calorías, ideal para quienes buscan una alternativa a la Coca-Cola tradicional.","Gaseosa dietética Coca-Cola Zero en lata de 354 cc, sin azúcares, con sabor a cola, formulada para ofrecer una alternativa sin calorías, disponible en pack de 6 unidades.",coca zero|coca light|gaseosa dietética,ACTUALIZAR
AFDE0233,Pringles Chedar & Bacon 105gr,"Papas fritas en forma de chips, sabor Cheddar y Bacon, presentadas en envase de 105 gramos, con ingredientes que incluyen papa deshidratada, aceite vegetal y saborizantes artificiales, ideales para consumo como snack en cualquier ocasión.","Papas fritas en forma de chips, sabor Cheddar y Bacon, presentadas en envase de 105 gramos, con ingredientes que incluyen almidón de maíz, aceite vegetal y saborizantes artificiales, aptas para consumo como snack en diversas ocasiones.",papas|snack|pringles,ACTUALIZAR
AFTE0067,Media Luna De Vacio,"Corte de carne vacuna correspondiente a la sección interna del vacío, caracterizado por su forma semicircular, textura jugosa y sabor pronunciado, ideal para cocinar a la parrilla o al horno.","Corte de carne vacuna correspondiente a la sección interna del vacío, caracterizado por su forma semicircular, textura jugosa y sabor pronunciado. Un clásico de la parrilla argentina, ideal para cocinar a fuego lento con brasas.",media luna|vacío|corte de carne|parrilla,ACTUALIZAR
AFLA0070,Brie Formagge x 100gr,"Queso Brie de 100 gramos, elaborado por la marca Formagge, con textura cremosa y sabor suave, ideal para tablas de quesos y acompañamientos. Sin T.A.C.C., apto para celíacos.","Queso Brie de la marca Formagge, presentado en porciones de 100 gramos, elaborado con leche de vaca, de textura cremosa y sabor suave, ideal para acompañar con frutas o en tablas de quesos.",queso brie|brie,ACTUALIZAR
AFLA0074,Provoleta Parrillera Formagge x 450gr,"Provoleta parrillera de pasta hilada, elaborada por Formagge, presentada en un envase de 450 gramos, ideal para asar a la parrilla, sin gluten y con un sabor característico que se derrite al calor.","Provoleta parrillera de pasta hilada, elaborada por Formagge, presentada en un envase de 450 gramos, ideal para asados. Se recomienda su cocción a la parrilla hasta que se derrita y forme una costra dorada.",provo|provoleta,ACTUALIZAR
AFLA0078,Provolone Patagonico Formagge x 220gr,"Queso provolone patagónico de 220 gramos, elaborado con leche de vaca, de textura elástica y sabor picante, ideal para parrilla. Presentación envasada al vacío para conservar frescura y calidad, marca Formagge.","Queso provolone patagónico de 220 gramos, elaborado por Formagge, con textura elástica y sabor picante, ideal para parrilla. Presentación envasada al vacío para conservar frescura y calidad.",provo|provoleta|queso provolone,ACTUALIZAR
AFLA0080,Corazon de Gouda Formagge x 210gr,"Queso Gouda de pasta dura, elaborado por Formagge, presentado en porciones de 210 gramos. Este queso se caracteriza por su textura cremosa y sabor suave, ideal para tablas de quesos y acompañamientos en comidas.","Queso Gouda de origen holandés, presentado en porciones de 210 gramos, con textura cremosa y sabor intenso, ideal para acompañar tablas de quesos o fundir en diversas preparaciones.",queso gouda|gouda|queso de pasta dura,ACTUALIZAR
AFTE0007,Molleja,"Molleja de corazón de ternera, corte de carne de víscera, envasada al vacío, ideal para asar a la parrilla, con textura firme y sabor característico, proveniente de ganado alimentado a pasto.","Molleja de corazón de ternera, envasada al vacío, con un peso neto de 500 g, ideal para asados y parrillas, presenta una textura firme y tierna, reconocida por su sabor sutil y delicado en la cocina gourmet.",molleja,ACTUALIZAR
AFTE0045,Nalga Porcionada,"Nalga porcionada de carne vacuna, corte magro y tierno, ideal para asado o guisos, envasada al vacío para preservar frescura y sabor, proveniente de ganado alimentado a pasto en Argentina.","Nalga porcionada de carne vacuna, corte magro y tierno, ideal para asado o guisos, envasada al vacío para preservar frescura y sabor, proveniente de ganado alimentado a pasto en Argentina.",nalga|carne de nalga|corte de nalga,ACTUALIZAR
AFTE0092,Asado en tiras (6 costillas),"Asado en tiras, corte de carne de res que incluye 6 costillas, ideal para cocción a la parrilla o a la brasa, con una presentación que resalta su terneza y sabor, recomendado para asados familiares y reuniones.","Asado en tiras, corte de carne de res que incluye 6 costillas, ideal para cocción a la parrilla o a la brasa, con una presentación que resalta su terneza y sabor, recomendado para asados y maridaje con vinos tintos.",tira de asado|costilla|asado,ACTUALIZAR
