product_code,nombre,descripcion
1014,APRESTO PLANCHADO 1+1 — 5 L,"Producto para ropa Apresto Planchado 1+1, marca Dinamic, 5 L, dilución 1+1."
1015,DESMANCHADOR DE ROPA PRELAVADO CONCENTRADO — 5 L,"Producto para ropa Desmanchador De Ropa Prelavado Concentrado, marca Dinamic, 5 L, dilución 1+4."
1040,CERA ACRILICA NEGRA AUTOBRILLO — 5 L,"Producto para pisos Cera Acrilica Negra Autobrillo, marca Dinamic, 5 L, dilución 1+2."
1042,CERA ACRILICA NATURAL AUTOBRILLO — 5 L,"Producto para pisos Cera Acrilica Natural Autobrillo, marca Dinamic, 5 L, dilución 1+4."
1070,CIPERMETRINA P/ DILUIR ( K-OTRINA ) EMULSIONADA DILUSION 1/20 LTS — 5 L,"Producto para pisos Cipermetrina P/ Diluir ( K-Otrina ) Emulsionada Dilusion, marca Dinamic, 5 L, dilución 1 LT + 20."
1082,FLUIDO EXTRA — 5 L,"Producto de limpieza Fluido Extra, marca Dinamic, 5 L, listo para usar."
1094,PERF.BASE ALCOCHOL TKT — 5 L,"Producto para ropa Perf.Base Alcochol Tkt, marca Dinamic, 5 L, listo para usar."
1113,ALCOHOL ETILICO SUELTO 96º — 5 L,"Insumo químico Alcohol Etilico Suelto 96º, marca Dinamic, 5 L, listo para usar."
1116,ALCOHOL EN GEL .(FORMULA SECADO RAPIDO) NO PEGAJOSO — 5 L,"Insumo químico Alcohol En Gel .(Formula Secado Rapido) No Pegajoso, marca Dinamic, 5 L, listo para usar."
1119,ENJUAGUE CAPILAR T /SEDAL (PH NEUTRO) — 5 L,"Producto de higiene Enjuague Capilar T /Sedal (Ph Neutro), marca Dinamic, 5 L, listo para usar."
1124,FLIT CASA Y JARDIN — 5 L,"Producto de limpieza Flit Casa Y Jardin, marca Dinamic, 5 L, listo para usar."
1140,ALCOHOL DE QUEMAR — 5 L,"Insumo químico Alcohol De Quemar, marca Dinamic, 5 L, listo para usar."
1151,DES. INDUSTRIAL CREMOSO/GEL — 5 L,"Desengrasante Des. Industrial Cremoso/Gel, marca Dinamic, 5 L, listo para usar."
1161,DESENG. MOTORES- GEL 1+2 — 5 L,"Desengrasante Deseng. Motores- Gel 1+2, marca Dinamic, 5 L, dilución 1+1."
1172,PERF.BASE ALCOHOL A + — 5 L,"Producto para ropa Perf.Base Alcohol A +, marca Dinamic, 5 L, listo para usar."
1181,DESMANCHADOR LIMPIA ALFOMBRA APC — 5 L,"Producto automotor Desmanchador Limpia Alfombra Apc, marca Dinamic, 5 L, listo para usar."
2014,APRESTO PLANCHADO 1+1 — 1 L,"Producto para ropa Apresto Planchado 1+1, marca Dinamic, 1 L, dilución 1+1."
2015,DESMANCHADOR DE ROPA PRELAVADO CONCENTRADO — 1 L,"Producto para ropa Desmanchador De Ropa Prelavado Concentrado, marca Dinamic, 1 L, dilución 1+4."
2040,CERA ACRILICA NEGRA AUTOBRILLO — 1 L,"Producto para pisos Cera Acrilica Negra Autobrillo, marca Dinamic, 1 L, dilución 1+2."
2041,CERA ACRILICA ROJA AUTOBRILLO — 1 L,"Producto para pisos Cera Acrilica Roja Autobrillo, marca Dinamic, 1 L, dilución 1+2."
