codigo_producto,nombre,descripcion
1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L","Jabón líquido para ropa, tipo ARIEL 8% mat. Activa, marca Soap Clean, 5 L, listo para usar, precio por litro."
1003,"JABON LIQUIDO CON SUAVIZANTE B/E (TIPO ALA) ""SOAP CLEAN"" L.P.U. — 5 L","Jabón líquido para ropa, tipo ALA, marca Soap Clean, 5 L, listo para usar, precio por litro."
1005,"JABON EXTRA (C/ SUAV. Y DESMANCHANTE) ""SOAP CLEAN"" L.P.U. — 5 L","Jabón líquido para ropa, marca Soap Clean, 5 L, listo para usar, precio por litro."
1007,"JABON LIQUIDO C/BICARBONATO ""SOAP CLEAN"" L.P.U. — 5 L (bidón incluido)","Jabón líquido para ropa, marca Soap Clean, 5 L (bidón incluido), listo para usar, precio por litro."
1008,JABON LIQUIDO B/E ECO. (5% Materia activa) L.P.U. (ECO VERDE O SKIP AZUL) — 5 L,"Jabón líquido para ropa, marca Química VM, 5 L, listo para usar, precio por litro."
1009,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  *CELESTE  *BLANCO *AMARILLO *ROSA *VIOLETA — 5 L","Suavizante para ropa, marca Soap Clean, 5 L, precio por litro."
1010,"SUAVIZANTE PARA ROPA ""SOAP CLEAN""  DOBLE FRAGANCIA *VIOLETA — 5 L","Suavizante para ropa, marca Soap Clean, 5 L, precio por litro."
1012,CAMELLITO B/E L.P.U.,"Jabón camellito, marca Química VM, listo para usar, precio por litro."
1013,LAVANDINA ROPA BLANCA L.P.U.,"Lavandina para ropa, marca Química VM, listo para usar, precio por litro."
1014,LAVANDINA ROPA COLOR POR LITRO (1L + 9LT DE AGUA),"Lavandina para ropa, marca Química VM, concentrado (1 L + 9 L de agua), precio por litro."
1016,PERFUME ROPA AL AGUA CONCENTRADO — *Precio por 1 Litro para hacer 10LT (+9lt de agua),"Perfume para ropa, marca Química VM, *Precio por 1 Litro para hacer 10LT (+9lt de agua), precio por litro."
1017,PERFUME ROPA AL ALCOHOL L.P.U. — 1 L,"Perfume para ropa, marca Química VM, 1 L, listo para usar, precio por litro."
1019,QUITAMANCHA CREMOSO Y PERFUMADO L.P.U.,"Quitamanchas, marca Química VM, listo para usar, precio por litro."
1021,QUITAMANCHA OXI. L.P.U.,"Quitamanchas, marca Química VM, listo para usar, precio por litro."
2001,BRILLO AL BALDE L.P.U.,"Brillo al balde, marca Química VM, listo para usar, precio por litro."
2005,CERA AUTOBRILLO INCOLORA L.P.U.,"Cera para pisos, marca Química VM, listo para usar, precio por litro."
2008,"CERA TIPO ""8 M"" INCOLORA L.P.U. (PROFESIONAL)","Cera para pisos, marca Química VM, listo para usar, precio por litro."
2011,CERA TIPO BLEM INCOLORA L.P.U.,"Cera para pisos, tipo BLEM INCOLORA L.P.U, marca Química VM, listo para usar, precio por litro."
2014,CERA PARA PISOS DE MADERA CREMOSO L.P.U.,"Cera para pisos, marca Química VM, listo para usar, precio por litro."
2016,CURADOR DE PISO INCOLORO L.P.U.,"Curador de piso, marca Química VM, listo para usar, precio por litro."
2019,LIQUIDO DE LAMPAZO SILICONADO Y PERFUMADO L.P.U.,"Líquido de lampazo, marca Química VM, listo para usar, precio por litro."
2022,REMOVEDOR DE CERAS L.P.U,"Removedor de ceras, marca Química VM, listo para usar, precio por litro."
3006,DESODORANTE CITRONELLA AMARILLA 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
3011,DESODORANTE CONIGLIO 1+80 LT DE AGUA — 1 L (rinde 80 L),"Desodorante de ambientes concentrado, marca Química VM, 1 L (rinde 80 L), concentrado 1+80 (1 L de producto + 80 L de agua), precio."
