base_product_code,related_product_code,reason,is_mock
120,150,Complementa tus preparaciones con film de PVC DPM para conservar alimentos.,true
344,339,Usa bandejas de aluminio para servir y almacenar lo que cocines con el rollo de aluminio.,true
339,545,Combina bandejas de aluminio con platos para una presentación perfecta.,true
457,178,"Ideal para servir comidas, acompaña tus bandejas de plástico con vasos desechables.",true
173,262,Protege tus manos mientras manipulas alimentos con guantes de nitrilo.,true
252,411,Usa bolsas para transportar y hilos de algodón para atar tus productos.,true
211,509,"Perfecto para envolver y presentar tus productos, combina papel diario con cajas de cartulina.",true
420,353,Utiliza moldes de papel para freidoras de aire junto a bandejas de poliestireno para servir.,true
589,331,Ofrece una experiencia completa con vasos y sorbetes para tus bebidas.,true
262,257,Protege tus manos con guantes de nitrilo mientras trabajas con guantes de látex.,true
347,120,"Ideal para tus asados, acompaña los pinchos de bambú con rollos de aluminio DPM.",true
150,120,Asegura la frescura de tus alimentos con film de PVC DPM y rollos de aluminio.,true
