base_product_code,related_product_code,reason,is_mock
BEL-QUE-006,BEL-FIA-001,El queso cremoso combina perfectamente con la bondiola curada para un picoteo delicioso.,true
BEL-QUE-008,BEL-FIA-002,La muzzarella es ideal para acompañar el jamón cocido en un sándwich.,true
BEL-QUE-009,BEL-FIA-007,El pategrás va de maravilla con el salame tipo Milán para una picada.,true
BEL-QUE-012,BEL-ACE-001,El queso sardo se complementa con un buen aceite de oliva para realzar su sabor.,true
BEL-QUE-014,BEL-ACE-003,El queso tybo es perfecto para disfrutar con aceitunas negras fileteadas.,true
BEL-QUE-001,BEL-ACE-019,El queso azul combina a la perfección con un buen vinagre para ensaladas.,true
BEL-QUE-002,BEL-ACE-013,El cheddar en barra es ideal para untar con mayonesa en sándwiches.,true
BEL-QUE-003,BEL-ACE-018,Las fetas de cheddar son un gran acompañante para la salsa golf en picadas.,true
BEL-QUE-010,BEL-ACE-014,El queso crema es ideal para untar con mayonesa en aperitivos.,true
BEL-QUE-007,BEL-FIA-008,El gruyere combina muy bien con el salame tipo Milán para un buen aperitivo.,true
