base_product_code,related_product_code,reason,is_mock
1008,1018,Al jabón verde de 5 L sumale el suavizante celeste: es el combo de ropa que más piden.,true
1008,1016,Después del jabón, la lavandina ropa blanca deja la colada desinfectada.,true
1018,1015,Si hay manchas difíciles, el desmanchador de prelavado entra antes del suavizante.,true
1235,1030,Lavavajillas limón + desengrasante tipo Cif: cocina y mesada en el mismo pedido.,true
1235,87,El destapacañerías cierra el kit de cocina junto al lavavajillas.,true
1002,1004,Shampoo auto con abrillantador + espuma activa para carrocería: lavadero completo.,true
1002,1133,Después del shampoo, el perfume de tapizados deja el interior del auto.,true
1300,1164,Desengrasante de motores Force X + jabón de manos para talleres.,true
1016,1028,Lavandina ropa blanca + lavandina en gel: dos usos, misma línea Dinamic.,true
1077,3075,Cloro granulado + alguicida 1+3: mantenimiento de pileta.,true
1125,1116,Jabón de manos coco + alcohol en gel: higiene de mostrador.,true
1008,450,Si llevan bidones de 5 L, ofrecé el envase vacío de recambio.,true
1058,1040,Limpiapisos Flor de Liz + cera acrílica negra: piso limpio y con brillo.,true
