base_product_code,related_product_code,reason,is_mock
1002,10792,Disfruta de un delicioso chocolate con tu galleta para un snack perfecto.,true
1009,10173,Combina tus confites con unas ricas galletas para un momento dulce.,true
10128,10603,Un caramelo refrescante va perfecto con una bebida de naranja.,true
10130,10604,Los caramelos mentolados son ideales para acompañar un jugo de manzana.,true
10173,10174,Disfruta de una combinación de galletas y snacks para compartir.,true
10301,10302,El ketchup común es ideal para acompañar el picante en tus comidas.,true
10600,10604,Una bebida multifruta es perfecta para refrescarte mientras disfrutas de un snack.,true
10610,10609,Combina tus bebidas de manzana y naranja para un mix refrescante.,true
10747,10763,Los bombones frutales son un excelente acompañante para tus Rocklets.,true
11240,11257,Un helado de gelato es perfecto para disfrutar después de un postre.,true
11584,11587,Un chocolate relleno es ideal para acompañar tu barra de chocolate.,true
11803,11810,Los chupetines surtidos son un gran complemento para tus momentos de diversión.,true
12719,12720,Un budín con fruta es ideal para disfrutar con un café o té.,true
4013,11612,Sumá turrón chocolatada junto al turrón oblea Arcor para armar un combo dulce.,true
